"AphiaID","scientificName","scientificNameID","match_type","acceptedNameUsageID","vernacularName","scientificNameOriginal","rank","gbif_speciesKey","gbif_scientificName","gbif_matchType","taxonID"
"289898","Entacmaea quadricolor","urn:lsid:marinespecies.org:taxname:289898","exact","289898","Bubble-tip Anemone","Entacmaea quadricolor","Species",4339208,"Entacmaea quadricolor (Leuckart, 1828)","EXACT","289898"
"290089","Radianthus crispa","urn:lsid:marinespecies.org:taxname:290089","exact","290089","Sebae Anemone","Radianthus crispa","Species",2257075,"Radianthus crispa (Hemprich & Ehrenberg, 1834)","EXACT","290089"
"854493","Radianthus magnifica","urn:lsid:marinespecies.org:taxname:854493","exact","854493","Magnificent Sea Anemone","Radianthus magnifica","Species",8497742,"Radianthus magnifica (Quoy & Gaimard, 1833)","EXACT","854493"
"291133","Stichodactyla gigantea","urn:lsid:marinespecies.org:taxname:291133","exact","291133","Gigantic Sea Anemone","Stichodactyla gigantea","Species",2257005,"Stichodactyla gigantea (Forsskål, 1775)","EXACT","291133"
"289169","Cryptodendrum adhaesivum","urn:lsid:marinespecies.org:taxname:289169","exact","289169","Adhesive Sea Anemone","Cryptodendrum adhaesivum","Species",NA,NA,NA,"289169"
"1783466","Macrodactyla doreensis","urn:lsid:marinespecies.org:taxname:288167","exact","1783466","Long Tentacle Anemone","Macrodactyla doreensis","Species",5184107,"Macrodactyla doreensis (Quoy & Gaimard, 1833)","EXACT","1783466"
"291136","Stichodactyla mertensii","urn:lsid:marinespecies.org:taxname:291136","exact","291136","Merten's Sea Anemone","Stichodactyla mertensii","Species",2256992,"Stichodactyla mertensii Brandt, 1835","EXACT","291136"
"291134","Stichodactyla haddoni","urn:lsid:marinespecies.org:taxname:291134","exact","291134","Haddon's Sea Anemone","Stichodactyla haddoni","Species",7812410,"Stichodactyla haddoni (Saville-Kent, 1893)","EXACT","291134"
"290088","Heteractis aurora","urn:lsid:marinespecies.org:taxname:290088","exact","290088","Beaded Sea Anemone","Heteractis aurora","Species",5184187,"Heteractis aurora (Quoy & Gaimard, 1833)","EXACT","290088"
