basisOfRecord,class,classid,collectionCode,coordinateUncertaintyInMeters,country,countryCode,datasetID,date_end,date_mid,date_start,date_year,day,decimalLatitude,decimalLongitude,eventDate,eventID,family,familyid,footprintWKT,genus,genusid,geodeticDatum,individualCount,institutionCode,kingdom,kingdomid,language,marine,month,occurrenceID,occurrenceStatus,order,orderid,phylum,phylumid,recordedBy,samplingEffort,samplingProtocol,scientificName,scientificNameAuthorship,scientificNameID,species,speciesid,specificEpithet,startDayOfYear,suborder,suborderid,subphylum,subphylumid,superfamily,superfamilyid,taxonRank,waterBody,year,id,dataset_id,node_id,dropped,absence,originalScientificName,aphiaID,flags,bathymetry,shoredistance,sst,sss,datasetName,depth,fieldNumber,maximumDepthInMeters,minimumDepthInMeters,modified,occurrenceRemarks,coordinatePrecision,organismQuantity,organismQuantityType,stateProvince,catalogNumber,collectionID,continent,dateIdentified,higherClassification,higherGeography,identifiedBy,institutionID,license,locality,locationID,nomenclaturalCode,preparations,type,typeStatus,verbatimEventDate,verbatimLatitude,verbatimLongitude,taxonConceptID,vernacularName,endDayOfYear,county,eventRemarks,habitat,otherCatalogNumbers,dynamicProperties,georeferenceSources,subclass,subclassid,superdomain,superdomainid,bibliographicCitation,associatedReferences,ownerInstitutionCode,footprintSRS,references
PreservedSpecimen,Hexacorallia,1340,IZ,NA,Thailand,NA,NA,-160272000000,-160358400000,-160358400000,1964,2,7.6686111111,98.6769444444,1964-12-02/03,NA,Actiniidae,100653,NA,Entacmaea,267415,NA,NA,CAS,Animalia,2,en,TRUE,12,urn:catalog:CAS:IZ:10388,NA,Actiniaria,1360,Cnidaria,1267,R.N. Mariscal,NA,NA,Entacmaea quadricolor,"(Leuckart in Rüppell & Leuckart, 1828)",NA,Entacmaea quadricolor,289898,quadricolor,337,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,1964,16a4d4c1-431c-49fc-97fc-da3bc22a7702,aa16d305-d413-4c4a-90be-b1ec3298d58d,b7c47783-a020-4173-b390-7b57c4fa1426,FALSE,FALSE,Entacmaea quadricolor,289898,NA,32,9389,29.41,32.08,NA,1.83,024036,NA,1.83,NA,"NOTES:Symb. fish ""Amphiprion ephippium"" CAS Ichthy. #: 44547/44548.",NA,NA,NA,NA,10388,https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470,Asia,1979-10-23,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Enthemonae, Actinioidea, Actiniidae",Asia,Daphne F. Dunn,http://grscicoll.org/institution/california-academy-sciences,https://creativecommons.org/publicdomain/zero/1.0/,"Andaman Sea, Phuket Island, E. Fjord, Pipi Lek Island (Phi Phi Group), in coral, crevices.",05d30aa3-2598-11ed-aace-005056be1b7a,ICZN,Fluid-75% EtOH(1),Physical Object,VOUCHER,2/3 Dec 1964,"07 40'07""N","98 40'37""E",NA,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,MIZ,NA,Australia,NA,NA,395798400000,395798400000,395798400000,1982,NA,-18,122.1833,1982-07-18T14:00:00Z,NA,Actiniidae,100653,POINT (122.18330 -18.00000),Entacmaea,267415,NA,7,WAM,Animalia,2,NA,TRUE,NA,urn:lsid:taxonomy.org.au:MIZ:55732,present,Actiniaria,1360,Cnidaria,1267,WA Museum Party,NA,NA,Entacmaea quadricolor,"(RÃ¼ppell & Leuckart, 1828)",urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,quadricolor,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,170af839-624f-46a6-b827-5b29132fc49e,0a6c216b-0abe-44d2-a45c-43d9611e2a03,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,11,1246,27.43,34.8,NA,NA,NA,NA,NA,2022-06-22T05:49:49,NA,NA,NA,NA,Western Australia,Z55732,NA,NA,2007-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urn:lsid:biodiversity.org.au:afd.taxon:94a8d388-13be-4f33-a084-db0ff73105c3,bubbletip anemone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,IZ,NA,Indonesia,NA,NA,246758400000,246758400000,246758400000,1977,27,-5.5166666667,132.3666666667,1977-10-27,NA,Actiniidae,100653,NA,Entacmaea,267415,NA,NA,CAS,Animalia,2,en,TRUE,10,urn:catalog:CAS:IZ:9617,NA,Actiniaria,1360,Cnidaria,1267,Daphne F. Dunn,NA,NA,Entacmaea quadricolor,"(Leuckart in Rüppell & Leuckart, 1828)",NA,Entacmaea quadricolor,289898,quadricolor,300,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,1977,17a9b713-33af-4c9a-a51d-3a512beda7f4,aa16d305-d413-4c4a-90be-b1ec3298d58d,b7c47783-a020-4173-b390-7b57c4fa1426,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,2,2281,28.18,33.73,NA,NA,024003,NA,NA,NA,"Spec. notes: 1; NOTES:5 m. Column bright mauve. Tentacles no bulbed. Host to one large fish ""Premnas biamuleatus."" Female.",NA,NA,NA,NA,9617,https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470,Asia,1977-10-27,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Enthemonae, Actinioidea, Actiniidae","Asia, Pacific Ocean",Daphne F. Dunn,http://grscicoll.org/institution/california-academy-sciences,https://creativecommons.org/publicdomain/zero/1.0/,"Moluccas Islands, Banda Sea, Kei Islands, N side, Tayandu",05d2f57e-2598-11ed-aace-005056be1b7a,ICZN,Fluid-10% formalin(1),Physical Object,VOUCHER,27 Oct 1977,5 31'S,132 22'E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,LIRS,100,Australia,NA,NA,1457827200000,1457827200000,1457827200000,2016,NA,-14.6506,145.448,2016-03-13 00:03:00,NA,Actiniidae,100653,POINT (145.44768 -14.65063),Entacmaea,267415,NA,NA,AM,Animalia,2,NA,TRUE,NA,467fe781-f674-4091-851d-58ab11e99b5c,present,Actiniaria,1360,Cnidaria,1267,NA,NA,NA,Entacmaea quadricolor,NA,urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,NA,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,1d2ddbde-cee7-44ec-9889-f664882e94cf,0e4e4700-5e70-48b1-b100-d6b05888dfa9,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,18.05,272,26.52,34.91,NA,NA,NA,NA,NA,2019-01-02T15:33:43,NA,0.0009,1,individuals,Queensland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,LIRS,100,Australia,NA,NA,1305331200000,1305331200000,1305331200000,2011,NA,-14.6465,145.45399,2011-05-14 23:05:00,NA,Actiniidae,100653,POINT (145.45376 -14.64651),Entacmaea,267415,NA,NA,AM,Animalia,2,NA,TRUE,NA,eeb24009-8f18-4929-81ee-0040ebb36980,present,Actiniaria,1360,Cnidaria,1267,NA,NA,NA,Entacmaea quadricolor,NA,urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,NA,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,1e78e241-14b1-49b2-a73d-1fed4991ee82,0e4e4700-5e70-48b1-b100-d6b05888dfa9,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,6.83,97,26.52,34.91,NA,NA,NA,NA,NA,2019-01-02T15:58:24,NA,0.0009,1,individuals,Queensland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,CN,NA,NA,KR,NA,1233619200000,1233619200000,1233619200000,2009,NA,33.22750556,126.5631,2009-02-03,NA,Actiniidae,100653,NA,Entacmaea,267415,NA,NA,MABIK,Animalia,2,NA,TRUE,NA,MABIK CN00080294,NA,Actiniaria,1360,Cnidaria,1267,NA,NA,NA,Entacmaea quadricolor,NA,NA,Entacmaea quadricolor,289898,NA,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,NA,NA,NA,225e7746-1a6e-41ff-b93d-be71bfae9918,22084d80-20d1-40d6-9354-c6dd59f303f8,fc5278f9-ea56-4a01-a48a-f8c4071e3b3e,FALSE,FALSE,"Entacmaea quadricolor (Leuckart in Rüppell & Leuckart, 1828)",289898,NO_DEPTH,-3,26,20.09,33.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jeju-do,MABIK CN00080294,NA,NA,2/3/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,큰산호말미잘,NA,Seogwipo-si,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,co113,10000,NA,NA,NA,324691200000,324691200000,324691200000,1980,NA,-29.083,168,1980-04-16,NA,Actiniidae,100653,POINT (168.00000 -29.08300),Entacmaea,267415,NA,NA,AM,Animalia,2,NA,TRUE,NA,urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:G.15572.001,present,Actiniaria,1360,Cnidaria,1267,NA,NA,NA,Entacmaea quadricolor,NA,urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,quadricolor,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,2322d2a6-2f96-4ed5-9a20-24d7e55c7dfe,517ac935-af0f-4358-88fb-7093015182af,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,50,3235,21.2,35.73,NA,NA,NA,NA,NA,2017-03-02T12:15:41,NA,NA,NA,NA,NA,G.15572.001,NA,NA,NA,NA,NA,NA,NA,NA,"Bumbora Reserve, Norfolk Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,LIRS,100,Australia,NA,NA,1305331200000,1305331200000,1305331200000,2011,NA,-14.676,145.44501,2011-05-14 23:05:00,NA,Actiniidae,100653,POINT (145.44501 -14.67599),Entacmaea,267415,NA,NA,AM,Animalia,2,NA,TRUE,NA,564c0bc7-67d1-4a79-9f86-75d661842035,present,Actiniaria,1360,Cnidaria,1267,NA,NA,NA,Entacmaea quadricolor,NA,urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,NA,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,24061272-7588-49bb-926f-88254a19a652,0e4e4700-5e70-48b1-b100-d6b05888dfa9,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,2.8,112,26.45,34.93,NA,NA,NA,NA,NA,2019-01-02T15:36:10,NA,0.0009,1,individuals,Queensland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,IZ,NA,Indonesia,NA,NA,248054400000,248054400000,248054400000,1977,11,-5.6,106.55,1977-11-11,NA,Actiniidae,100653,NA,Entacmaea,267415,NA,NA,CAS,Animalia,2,en,TRUE,11,urn:catalog:CAS:IZ:9643,NA,Actiniaria,1360,Cnidaria,1267,Daphne F. Dunn,NA,NA,Entacmaea quadricolor,"(Leuckart in Rüppell & Leuckart, 1828)",NA,Entacmaea quadricolor,289898,quadricolor,315,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,1977,251bd627-4fde-4a5a-bc87-76b697d634de,aa16d305-d413-4c4a-90be-b1ec3298d58d,b7c47783-a020-4173-b390-7b57c4fa1426,FALSE,FALSE,Entacmaea quadricolor,289898,NA,3,144,29.13,31.43,NA,3,024026,NA,3,NA,"NOTES:Lacking pedal disc, part ofbody. With pair of fish ""Premnas biaculeatus"" Column reddish brown.",NA,NA,NA,NA,9643,https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470,Asia,1977-11-11,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Enthemonae, Actinioidea, Actiniidae",Asia,Daphne F. Dunn,http://grscicoll.org/institution/california-academy-sciences,https://creativecommons.org/publicdomain/zero/1.0/,"Jakarta Bay, Seribu Island, Pulau Pari, at reef edge deep in hole.",05d3056b-2598-11ed-aace-005056be1b7a,ICZN,Fluid-10% formalin(1),Physical Object,VOUCHER,11 Nov 1977,05 36'S,106 33'E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,IZ,NA,Thailand,NA,NA,-160358400000,-160358400000,-160358400000,1964,2,7.6686111111,98.6769444444,1964-12-02,NA,Actiniidae,100653,NA,Entacmaea,267415,NA,NA,CAS,Animalia,2,en,TRUE,12,urn:catalog:CAS:IZ:10405,NA,Actiniaria,1360,Cnidaria,1267,R.N. Mariscal,NA,NA,Entacmaea quadricolor,"(Leuckart in Rüppell & Leuckart, 1828)",NA,Entacmaea quadricolor,289898,quadricolor,337,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,1964,2595cbca-1e06-4687-b89a-384aefc12f52,aa16d305-d413-4c4a-90be-b1ec3298d58d,b7c47783-a020-4173-b390-7b57c4fa1426,FALSE,FALSE,Entacmaea quadricolor,289898,NA,32,9389,29.41,32.08,NA,4.57,024039,NA,4.57,NA,"NOTES:Symb. fish ""Amphiprion ephippium"" CAS Ichthy. #44547/44548. Two orig. labeled #1 & #2.",NA,NA,NA,NA,10405,https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470,Asia,1979-10-23,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Enthemonae, Actinioidea, Actiniidae",Asia,Daphne F. Dunn,http://grscicoll.org/institution/california-academy-sciences,https://creativecommons.org/publicdomain/zero/1.0/,"Andaman Sea, Phuket Island, E. Fjord, Pipi Lek Island (Phi Phi Group), West Bay, in coral crevices.",05d30c5a-2598-11ed-aace-005056be1b7a,ICZN,Fluid-75% EtOH(1),Physical Object,VOUCHER,2 Dec 1964,"07 40'07""N","98 40'37""E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,MAGNT_Coelenterate,100,Australia,NA,NA,372038400000,372038400000,372038400000,1981,NA,-11.1917,132.05,1981-10-16 23:10:00,NA,Actiniidae,100653,POINT (132.05000 -11.19167),Entacmaea,267415,NA,NA,MAGNT,Animalia,2,NA,TRUE,NA,urn:lsid:ozcam.taxonomy.org.au:MAGNT:Coelenterate:C003267,present,Actiniaria,1360,Cnidaria,1267,NA,NA,NA,Entacmaea quadricolor,NA,urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,NA,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,25e2e462-eb87-46f5-968c-208b199ded1f,e00e2de4-7e7a-4fae-a1da-d3b49aefbf08,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,-2,220,28.25,34.12,NA,NA,NA,NA,NA,2019-01-02T15:34:41,NA,0.0009,1,individuals,Northern Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,MIZ,NA,Australia,NA,NA,647740800000,647740800000,647740800000,1990,NA,-15.4141,124.5678,1990-07-12T14:00:00Z,NA,Actiniidae,100653,POINT (124.56780 -15.41410),Entacmaea,267415,NA,NA,WAM,Animalia,2,NA,TRUE,NA,urn:lsid:taxonomy.org.au:MIZ:55726,present,Actiniaria,1360,Cnidaria,1267,"Marsh, L.M.",NA,NA,Entacmaea quadricolor,"(RÃ¼ppell & Leuckart, 1828)",urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,quadricolor,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,275c5d2d-465d-4f17-9f1b-fbab2b06ec4a,0a6c216b-0abe-44d2-a45c-43d9611e2a03,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,"NO_DEPTH,ON_LAND",-99,-1803,28.55,34.61,NA,NA,NA,NA,NA,2022-06-22T05:57:24,NA,NA,NA,NA,Western Australia,Z55726,NA,NA,2007-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urn:lsid:biodiversity.org.au:afd.taxon:94a8d388-13be-4f33-a084-db0ff73105c3,bubbletip anemone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,PROCFish/C,30,Solomon Islands,SB,7c0229a3-75b1-45e1-ab94-e036aa75f2db,1155254400000,1155254400000,1155254400000,2006,11,-8.1432,157.037425,2006-08-11,D09A97FE-0C55-4BDB-AD33-16417E38D1A7,Actiniidae,100653,POINT (157.037425 -8.1432),Entacmaea,267415,WGS84,5,SPC,Animalia,2,en,TRUE,8,D09A97FE-0C55-4BDB-AD33-16417E38D1A7_DF542953-4220-4A6C-A0B9-D54C68825927,present,Actiniaria,1360,Cnidaria,1267,Ferral Lasi,Reef front search,http://purl.org/spc/digilib/doc/pfj5w,Entacmaea quadricolor,"""(Leuckart in R�ppell & Leuckart, 1828)""",urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,quadricolor,223,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,Pacific Ocean,2006,287e0081-9667-4609-9571-88052fe81237,7cab72d0-12e0-46ac-823a-786cdb3ade40,6c17c09e-5cc2-4d5a-8463-e866731d35a1,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,8,70,29.47,34.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,LIRS,100,Australia,NA,NA,1239667200000,1239667200000,1239667200000,2009,NA,-14.6731,145.44299,2009-04-14 23:04:00,NA,Actiniidae,100653,POINT (145.44328 -14.67310),Entacmaea,267415,NA,NA,AM,Animalia,2,NA,TRUE,NA,97c2abb0-9660-4b36-a120-e29200d78e9c,present,Actiniaria,1360,Cnidaria,1267,NA,NA,NA,Entacmaea quadricolor,NA,urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,NA,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,2958b515-f275-414e-a702-3dcf89d0b3a9,0e4e4700-5e70-48b1-b100-d6b05888dfa9,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,3.01,70,26.45,34.93,NA,NA,NA,NA,NA,2019-01-02T15:46:00,NA,0.0009,1,individuals,Queensland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,IZ,NA,Thailand,NA,NA,-160099200000,-160099200000,-160099200000,1964,5,-7.6613888889,98.6772222222,1964-12-05,NA,Actiniidae,100653,NA,Entacmaea,267415,NA,NA,CAS,Animalia,2,en,TRUE,12,urn:catalog:CAS:IZ:10387,NA,Actiniaria,1360,Cnidaria,1267,R.N. Mariscal,NA,NA,Entacmaea quadricolor,"(Leuckart in Rüppell & Leuckart, 1828)",NA,Entacmaea quadricolor,289898,quadricolor,340,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,1964,2b465ac8-6e94-4ba9-93a3-7f28f7b2e099,aa16d305-d413-4c4a-90be-b1ec3298d58d,b7c47783-a020-4173-b390-7b57c4fa1426,FALSE,FALSE,Entacmaea quadricolor,289898,NA,5142,455676,28.49,34.04,NA,7.62,025974,NA,7.62,NA,"Spec. notes: 3; NOTES:Caught alive. Symbiotic fish ""Amphiprion ephippium,"" CAS Ichthyology # 44574. Voucher spec. for Dunn, D.F. 1981. Trans. Amer. Philosoph. Soc. 71(1):28.",NA,NA,NA,Phuket,10387,https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470,Asia,1979-10-23,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Enthemonae, Actinioidea, Actiniidae","Asia, Thailand, Andaman Sea",Daphne F. Dunn,http://grscicoll.org/institution/california-academy-sciences,https://creativecommons.org/publicdomain/zero/1.0/,"Phi Phi Group, Pipi Don Island, W point of S. Bay, on reef edge, on Physobrachia.",05dae38d-2598-11ed-aace-005056be1b7a,ICZN,Fluid-75% EtOH(3),Physical Object,VOUCHER,5 Dec 1964,"07 40'19""S","98 40'38""E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,LIRS,100,Australia,NA,NA,1480809600000,1480809600000,1480809600000,2016,NA,-14.6505,145.44701,2016-12-04 00:12:00,NA,Actiniidae,100653,POINT (145.44746 -14.65054),Entacmaea,267415,NA,NA,AM,Animalia,2,NA,TRUE,NA,8ddca80e-15f8-4b3b-9b32-2eb15098faf7,present,Actiniaria,1360,Cnidaria,1267,NA,NA,NA,Entacmaea quadricolor,NA,urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,NA,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,2b9e92cb-395e-4320-850f-6db48c33c70d,0e4e4700-5e70-48b1-b100-d6b05888dfa9,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,19.63,363,26.52,34.91,NA,NA,NA,NA,NA,2019-01-02T15:44:34,NA,0.0009,1,individuals,Queensland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PreservedSpecimen,Hexacorallia,1340,MIZ,NA,Australia,NA,NA,682905600000,682905600000,682905600000,1991,NA,-15.35,123.5333,1991-08-23T14:00:00Z,NA,Actiniidae,100653,POINT (123.53330 -15.35000),Entacmaea,267415,NA,2,WAM,Animalia,2,NA,TRUE,NA,urn:lsid:taxonomy.org.au:MIZ:55730,present,Actiniaria,1360,Cnidaria,1267,"Marsh, L.M.",NA,NA,Entacmaea quadricolor,"(RÃ¼ppell & Leuckart, 1828)",urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,quadricolor,NA,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,NA,NA,2cb8e13e-e0f1-4989-9dde-eb14662ed4af,0a6c216b-0abe-44d2-a45c-43d9611e2a03,2a57cd59-6799-4579-955e-27c9af97aea4,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,20,43891,28.52,34.66,NA,NA,NA,NA,NA,2022-06-22T23:42:30,NA,NA,NA,NA,Western Australia,Z55730,NA,NA,2007-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urn:lsid:biodiversity.org.au:afd.taxon:94a8d388-13be-4f33-a084-db0ff73105c3,bubbletip anemone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,PROCFish/C,30,Solomon Islands,SB,7c0229a3-75b1-45e1-ab94-e036aa75f2db,1150416000000,1150416000000,1150416000000,2006,16,-8.9634165,160.1011585,2006-06-16,69984CC5-598D-4AD4-80FA-BC42EC6BB282,Actiniidae,100653,POINT (160.1011585 -8.9634165),Entacmaea,267415,WGS84,1,SPC,Animalia,2,en,TRUE,6,69984CC5-598D-4AD4-80FA-BC42EC6BB282_DF542953-4220-4A6C-A0B9-D54C68825927,present,Actiniaria,1360,Cnidaria,1267,Emmanuel Tardy,Manta tow transect,http://purl.org/spc/digilib/doc/pfj5w,Entacmaea quadricolor,"""(Leuckart in R�ppell & Leuckart, 1828)""",urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,quadricolor,167,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,Pacific Ocean,2006,2cdb6623-77f8-4b2a-bb63-0e587538dd37,7cab72d0-12e0-46ac-823a-786cdb3ade40,6c17c09e-5cc2-4d5a-8463-e866731d35a1,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,-3,18,29.38,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HumanObservation,Hexacorallia,1340,PROCFish/C,30,Solomon Islands,SB,7c0229a3-75b1-45e1-ab94-e036aa75f2db,1155254400000,1155254400000,1155254400000,2006,11,-8.1988915,157.0082,2006-08-11,335B99CC-182A-4ADE-AB2A-C56FBB03EA5F,Actiniidae,100653,POINT (157.0082 -8.1988915),Entacmaea,267415,WGS84,2,SPC,Animalia,2,en,TRUE,8,335B99CC-182A-4ADE-AB2A-C56FBB03EA5F_DF542953-4220-4A6C-A0B9-D54C68825927,present,Actiniaria,1360,Cnidaria,1267,Ferral Lasi,Manta tow transect,http://purl.org/spc/digilib/doc/pfj5w,Entacmaea quadricolor,"""(Leuckart in R�ppell & Leuckart, 1828)""",urn:lsid:marinespecies.org:taxname:289898,Entacmaea quadricolor,289898,quadricolor,223,Enthemonae,888371,Anthozoa,1292,Actinioidea,853973,species,Pacific Ocean,2006,30184a37-043e-4d3f-80ff-2b92ded3e299,7cab72d0-12e0-46ac-823a-786cdb3ade40,6c17c09e-5cc2-4d5a-8463-e866731d35a1,FALSE,FALSE,Entacmaea quadricolor,289898,NO_DEPTH,-6,62,29.46,34.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
