scenario,group,var_delta_env,var_delta_comb,n
ssp119_2050,generalist,0.0034867579362463006,0.006701727094194103,34
ssp119_2050,specialist,0.009020389949406647,0.006157842136042307,11
ssp119_2100,generalist,0.003554133531477733,0.006788150163751709,34
ssp119_2100,specialist,0.00881465812093201,0.00606627781467982,11
ssp585_2050,generalist,0.003615087777633141,0.006770319550229223,34
ssp585_2050,specialist,0.008951918229081453,0.0060631390765338725,11
ssp585_2100,generalist,0.0034540835707288437,0.007156278930279622,34
ssp585_2100,specialist,0.007829335905269444,0.005425386062762764,11
