scenario,fish,host,weight,group,D_env_host,I_env_host,D_comb_host,I_comb_host
ssp119_2050,Amphiprion_melanopus,Heteractis_crispa,0.02,specialist,0.6394312175842201,0.8949536082182082,0.6522941662152173,0.9046422913552529
ssp119_2050,Amphiprion_sebae,Heteractis_crispa,0.11,generalist,0.7566950525994048,0.9445762439572111,0.7938143045259703,0.9617206510265474
ssp119_2050,Amphiprion_akindynos,Heteractis_aurora,0.01,generalist,0.41553782376317494,0.6862648704496636,0.360515638834776,0.619005887380408
ssp119_2050,Amphiprion_allardi,Heteractis_aurora,0.07,generalist,0.5813758879466149,0.8595798901826387,0.6569739373658575,0.9029410319781607
ssp119_2050,Amphiprion_fuscocaudatus,Heteractis_aurora,0.25,generalist,0.3447761116536816,0.6320873599368372,0.47631228563050265,0.7682912543977276
ssp119_2050,Amphiprion_latifasciatus,Heteractis_aurora,0.13,generalist,0.471558771721609,0.7361309460507546,0.5656155859607325,0.8204885922141065
ssp119_2050,Amphiprion_polymnus,Heteractis_aurora,0.02,generalist,0.8407636437731415,0.9711432086983726,0.7588856736400907,0.9464387304420603
ssp119_2050,Amphiprion_sebae,Heteractis_aurora,0.11,generalist,0.7911328625144255,0.9640413030167918,0.8150350826827739,0.9704517955689871
ssp119_2050,Amphiprion_tricinctus,Heteractis_aurora,0.14,generalist,0.3766737889840157,0.7333405040688032,0.5642217052052527,0.8803563189011939
ssp119_2050,Amphiprion_sebae,Heteractis_malu,0.06,generalist,0.7904582525488173,0.965291404852893,0.7456203805879213,0.9502146665163828
ssp119_2050,Amphiprion_tricinctus,Heteractis_malu,0.05,generalist,0.20063045690214198,0.5411271611074296,0.3678606914122874,0.7257961775554889
ssp119_2050,Amphiprion_akindynos,Stichodactyla_haddoni,0.01,generalist,0.5355388108742324,0.7992980426828482,0.4225440048831399,0.689222554864676
ssp119_2050,Amphiprion_allardi,Stichodactyla_haddoni,0.14,generalist,0.5818543193437613,0.8578092598185942,0.5993144105605581,0.8642204118782955
ssp119_2050,Amphiprion_fuscocaudatus,Stichodactyla_haddoni,0.06,generalist,0.3522572023753485,0.632739338592615,0.472530352590118,0.7531915013418496
ssp119_2050,Amphiprion_latifasciatus,Stichodactyla_haddoni,0.08,generalist,0.4261398806470702,0.721475747649419,0.5047481298037211,0.7874064396748873
ssp119_2050,Amphiprion_polymnus,Stichodactyla_haddoni,0.88,generalist,0.6893430158927673,0.9115393136385426,0.6638926239414381,0.9082433186829724
ssp119_2050,Amphiprion_sebae,Stichodactyla_haddoni,0.6,generalist,0.7101966978927485,0.9338215162140683,0.7360192909830499,0.9378845287650099
ssp119_2050,Amphiprion_tricinctus,Stichodactyla_haddoni,0.29,generalist,0.29125275712827026,0.6527146324931127,0.4735585150040438,0.8237202956702127
ssp119_2050,Amphiprion_ocellaris,Stichodactyla_gigantea,0.15,specialist,0.6867480423772461,0.913962593782744,0.618312290985201,0.8873671476643865
ssp119_2050,Amphiprion_percula,Stichodactyla_gigantea,0.19,specialist,0.7182633478217996,0.9376530016350151,0.6448541821300068,0.8885367109154703
ssp119_2100,Amphiprion_akindynos,Entacmaea_quadricolor,0.56,generalist,0.44567707173818594,0.7192902073429779,0.37617767854680284,0.6353019667808415
ssp119_2100,Amphiprion_allardi,Entacmaea_quadricolor,0.51,generalist,0.5858364599083825,0.8651651015450307,0.6612334506068598,0.9064890986022589
ssp119_2100,Amphiprion_chrysogaster,Entacmaea_quadricolor,0.08,generalist,0.5635868931550638,0.8341372579522465,0.4396330509419143,0.7413676560761944
ssp119_2100,Amphiprion_ephippium,Entacmaea_quadricolor,1,specialist,0.6867426927829936,0.9202396791950124,0.7052831463404183,0.9354622793035081
