species,model,iter,fc,rm,cv_method,cv_k,test_fold,n_pres_total,n_bg_total,n_pres_train,n_bg_train,n_pres_test,n_bg_test,auc,tss,threshold_maxTSS,sensitivity,specificity,balanced_accuracy,tp,fp,tn,fn,brier,logloss,boyce,predictors,seed,n_hosts,group
Amphiprion_akallopisos,Combined,1,lqh,1,block_quadrant,4,1,171,10000,98,9675,73,325,0.7813066385669125,0.497449947312961,0.20806109,0.8082191780821918,0.6892307692307692,0.7487249736564805,59,101,224,14,0.13599980366560416,0.4176934003382757,0.19824473473058388,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,1,2,specialist
Amphiprion_akallopisos,Combined,2,lqh,1,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8564242297212324,0.6598769078333111,0.35198891,0.8461538461538461,0.813723061679465,0.8299384539166555,11,752,3285,2,0.0733940870988494,0.25914966788643484,0.22880077229420573,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,2,2,specialist
Amphiprion_akallopisos,Combined,3,lqh,1,block_quadrant,4,3,171,10000,158,9657,13,343,0.7703520968827091,0.5597667638483965,0.49669264,1,0.5597667638483965,0.7798833819241983,13,151,192,0,0.2312459340909725,0.6409651079867271,0.4366073677290809,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,3,2,specialist
Amphiprion_akallopisos,Combined,4,lqh,1,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6208375,0.22786666666666663,0.00230342,0.9166666666666666,0.3112,0.6139333333333333,66,3444,1556,6,0.02988895026065648,0.1257421081859095,-0.5681610841511935,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,4,2,specialist
Amphiprion_akallopisos,Combined,5,lqh,1,block_quadrant,4,1,171,10000,98,9675,73,325,0.6763540569020021,0.3122444678609062,0.09989567,0.863013698630137,0.4492307692307692,0.6561222339304531,63,179,146,10,0.1563525673913888,0.4871251386058893,0.2051975602888762,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,5,2,specialist
Amphiprion_akallopisos,Combined,6,lqh,1,block_quadrant,4,2,171,10000,158,5963,13,4037,0.864751052761952,0.6739963034240963,0.38344731,0.8461538461538461,0.8278424572702502,0.8369981517120482,11,695,3342,2,0.0739133344108588,0.256700883163827,0.1434203027056679,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,6,2,specialist
Amphiprion_akallopisos,Combined,7,lqh,1,block_quadrant,4,3,171,10000,158,9657,13,343,0.6472303206997084,0.37609329446064144,0.4533752,1,0.3760932944606414,0.6880466472303207,13,214,129,0,0.30179511350760374,0.8099916700137386,0.4924475928111064,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,7,2,specialist
Amphiprion_akallopisos,Combined,8,lqh,1,block_quadrant,4,4,171,10000,99,4705,72,5000,0.6814375,0.31948888888888893,0.0151389,0.8888888888888888,0.4306,0.6597444444444445,64,2847,2153,8,0.031614385727259,0.12514342954229227,-0.5543196927108619,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,8,2,specialist
Amphiprion_akallopisos,Combined,9,lqh,1,block_quadrant,4,1,171,10000,98,9675,73,325,0.8021285563751317,0.5508535300316122,0.27551532,0.8493150684931506,0.7015384615384616,0.7754267650158061,62,97,228,11,0.13018084171703123,0.4004302526086799,0.7589056251405164,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,9,2,specialist
Amphiprion_akallopisos,Combined,10,lqh,1,block_quadrant,4,2,171,10000,158,5963,13,4037,0.8704864617671157,0.7052075989405688,0.33706087,0.8461538461538461,0.8590537527867228,0.8526037994702844,11,569,3468,2,0.05687504758950686,0.2119059203625702,0.032248352087664973,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,10,2,specialist
Amphiprion_akallopisos,Combined,11,lqh,1,block_quadrant,4,3,171,10000,158,9657,13,343,0.7252747252747253,0.45660461986992606,0.62607821,0.9230769230769232,0.5335276967930029,0.728302309934963,12,160,183,1,0.319757465484939,0.8366461007909898,0.5750560179567759,PC1;PC2;PC3;PC4;rugosity;biotic_suitability,11,2,specialist
