species,group,model_type,scenario,thr,area_current_km2,area_future_km2,lon_current,lat_current,lon_future,lat_future,shift_km,niche_breadth_B2
Amphiprion_akallopisos,specialist,Combined,SSP1-1.9 2050,0.264221545,2903456.847252618,2363126.6118532447,96.79104600000001,2.4888889577911577,110.77847275684465,3.941931933149086,1561.211164428973,0.561391989073733
Amphiprion_akallopisos,specialist,Combined,SSP1-1.9 2100,0.264221545,2903456.847252618,2365177.328332633,96.79104600000001,2.4888889577911577,110.64194775221466,3.930390933344809,1546.0128870021592,0.561391989073733
Amphiprion_akallopisos,specialist,Combined,SSP5-8.5 2050,0.264221545,2903456.847252618,2380323.601944777,96.79104600000001,2.4888889577911577,110.56313474954187,4.070424930969983,1538.898318420642,0.561391989073733
Amphiprion_akallopisos,specialist,Combined,SSP5-8.5 2100,0.264221545,2903456.847252618,2300449.6366717354,96.79104600000001,2.4888889577911577,110.40845674429625,3.591577939090712,1516.9855629761328,0.561391989073733
Amphiprion_akindynos,generalist,Combined,SSP1-1.9 2050,0.147401207,1255112.4581111008,1044007.585433443,121.2687833911332,-8.41010975520843,114.14499256884224,14.413786386703288,2656.75022782282,0.17738985742382157
Amphiprion_akindynos,generalist,Combined,SSP1-1.9 2100,0.147401207,1255112.4581111008,1033605.4161541542,121.2687833911332,-8.41010975520843,114.04455985846653,14.642199664623472,2684.2317184905964,0.17738985742382157
Amphiprion_akindynos,generalist,Combined,SSP5-8.5 2050,0.147401207,1255112.4581111008,1046055.3175243209,121.2687833911332,-8.41010975520843,113.61031410867082,13.946053315226175,2625.6214047799854,0.17738985742382157
Amphiprion_akindynos,generalist,Combined,SSP5-8.5 2100,0.147401207,1255112.4581111008,1139405.682255541,121.2687833911332,-8.41010975520843,112.90098424534736,14.007954929197986,2658.2848893712985,0.17738985742382157
Amphiprion_allardi,generalist,Combined,SSP1-1.9 2050,0.22388750975,620409.1606285223,840165.2242203569,111.35096766524013,-3.101809267415651,101.67957899887207,3.102364388424324,1277.2230596152033,0.17528105421521029
Amphiprion_allardi,generalist,Combined,SSP1-1.9 2100,0.22388750975,620409.1606285223,854911.3959570747,111.35096766524013,-3.101809267415651,101.65300926729631,2.772374139905811,1260.3502849497615,0.17528105421521029
Amphiprion_allardi,generalist,Combined,SSP5-8.5 2050,0.22388750975,620409.1606285223,848575.3508092973,111.35096766524013,-3.101809267415651,101.81239646768584,3.313307508691159,1277.7387649071777,0.17528105421521029
Amphiprion_allardi,generalist,Combined,SSP5-8.5 2100,0.22388750975,620409.1606285223,834338.5008595575,111.35096766524013,-3.101809267415651,100.61849604512555,2.7744900538724924,1360.104655124603,0.17528105421521029
Amphiprion_chrysogaster,generalist,Combined,SSP1-1.9 2050,0.177874794,660580.0086807399,264269.8454849151,117.31579764332655,-2.2385123119125843,99.24004465096782,3.5231476751318223,2108.6389110279956,0.10129296200799104
Amphiprion_chrysogaster,generalist,Combined,SSP1-1.9 2100,0.177874794,660580.0086807399,271449.1975331548,117.31579764332655,-2.2385123119125843,98.79897096631797,3.5372961799591094,2155.855471244821,0.10129296200799104
Amphiprion_chrysogaster,generalist,Combined,SSP5-8.5 2050,0.177874794,660580.0086807399,265377.9642625286,117.31579764332655,-2.2385123119125843,99.07358590575413,3.578579705848113,2128.1108063613838,0.10129296200799104
Amphiprion_chrysogaster,generalist,Combined,SSP5-8.5 2100,0.177874794,660580.0086807399,267099.692232284,117.31579764332655,-2.2385123119125843,98.58897003953459,3.359980092996306,2172.498684782841,0.10129296200799104
Amphiprion_ephippium,specialist,Combined,SSP1-1.9 2050,0.4956850605,2803869.865277099,1384899.0724346128,104.567935,3.736681936629935,115.07969290576207,-4.101876248003482,1457.317268803133,0.7175635059452196
Amphiprion_ephippium,specialist,Combined,SSP1-1.9 2100,0.4956850605,2803869.865277099,1375193.5162697067,104.567935,3.736681936629935,115.02993542198067,-4.007357052830405,1446.6293758244915,0.7175635059452196
Amphiprion_ephippium,specialist,Combined,SSP5-8.5 2050,0.4956850605,2803869.865277099,1352972.0128926341,104.567935,3.736681936629935,114.781307179352,-3.994783328779589,1423.6840985714869,0.7175635059452196
Amphiprion_ephippium,specialist,Combined,SSP5-8.5 2100,0.4956850605,2803869.865277099,1475945.0119692485,104.567935,3.736681936629935,114.62752988737823,-3.3698979428501676,1368.953841127768,0.7175635059452196
Amphiprion_frenatus,specialist,Combined,SSP1-1.9 2050,0.16585404025,3664489.0318919206,1702313.0662044361,113.89084700000001,-0.2595969955974852,111.36440877671558,-2.841782951806428,401.6094968131148,0.4337068944155399
Amphiprion_frenatus,specialist,Combined,SSP1-1.9 2100,0.16585404025,3664489.0318919206,1693000.9452522076,113.89084700000001,-0.2595969955974852,110.87837076023251,-2.542180956887355,420.1722969276402,0.4337068944155399
Amphiprion_frenatus,specialist,Combined,SSP5-8.5 2050,0.16585404025,3664489.0318919206,1705279.2584611145,113.89084700000001,-0.2595969955974852,111.00342476447348,-2.8438169517719336,430.7690544265913,0.4337068944155399
Amphiprion_frenatus,specialist,Combined,SSP5-8.5 2100,0.16585404025,3664489.0318919206,1775075.2726041388,113.89084700000001,-0.2595969955974852,109.4748077126333,-1.821870969103035,520.7729484606166,0.4337068944155399
Amphiprion_fuscocaudatus,generalist,Combined,SSP1-1.9 2050,0.151606853,3670783.112827095,2338935.732781223,102.73947600000001,4.1160089301969585,116.79124396075655,0.4180239929107629,1614.2345224127967,0.42399939005634174
Amphiprion_fuscocaudatus,generalist,Combined,SSP1-1.9 2100,0.151606853,3670783.112827095,2333142.913023013,102.73947600000001,4.1160089301969585,117.20319597472712,0.2029999965573379,1664.6982426758354,0.42399939005634174
Amphiprion_fuscocaudatus,generalist,Combined,SSP5-8.5 2050,0.151606853,3670783.112827095,2337470.8771030735,102.73947600000001,4.1160089301969585,116.9013979644922,0.46741999207306006,1624.6710345903589,0.42399939005634174
Amphiprion_fuscocaudatus,generalist,Combined,SSP5-8.5 2100,0.151606853,3670783.112827095,2594603.921243383,102.73947600000001,4.1160089301969585,117.21044297497289,1.1125929811316222,1641.5594823329461,0.42399939005634174
