species,group,scenario,potential_km2,ghost_km2,pct_ghost
Amphiprion_akallopisos,specialist,current,1828039.4167737723,42866.7361172244,2.3449568824329865
Amphiprion_akallopisos,specialist,ssp119_2050,2234173.313959952,132999.1165400848,5.952945356076741
Amphiprion_akallopisos,specialist,ssp119_2100,2224595.4941068375,132593.0807770941,5.960323174633124
Amphiprion_akallopisos,specialist,ssp585_2050,2243645.6720800526,135195.4826324239,6.025705587776079
Amphiprion_akallopisos,specialist,ssp585_2100,2228554.2109610387,149747.19887733547,6.719477504330428
Amphiprion_akindynos,generalist,current,1380798.142986403,280574.1792110544,20.31971006306729
Amphiprion_akindynos,generalist,ssp119_2050,593010.2210547528,219654.41576828112,37.04057838625354
Amphiprion_akindynos,generalist,ssp119_2100,586489.6684579606,221543.683600457,37.77452451685212
Amphiprion_akindynos,generalist,ssp585_2050,593071.0012500942,222895.46414039884,37.58326805231964
Amphiprion_akindynos,generalist,ssp585_2100,586560.3299826211,234320.90925061054,39.94830493524052
Amphiprion_allardi,generalist,current,610190.5554045519,119689.09431164092,19.615035541198754
Amphiprion_allardi,generalist,ssp119_2050,420519.66321812564,44916.79561969183,10.68125929616596
Amphiprion_allardi,generalist,ssp119_2100,416242.0828774861,40065.805214351116,9.62560175015841
Amphiprion_allardi,generalist,ssp585_2050,423913.5231164877,45471.6442728663,10.726632153315641
Amphiprion_allardi,generalist,ssp585_2100,409527.4521774343,41331.28256714189,10.092432716631278
Amphiprion_chrysogaster,generalist,current,1045969.894635405,393017.87509486644,37.57449206813559
Amphiprion_chrysogaster,generalist,ssp119_2050,229061.3492340154,62879.678952788556,27.45102094397818
Amphiprion_chrysogaster,generalist,ssp119_2100,234689.18596247685,64018.365347504085,27.277935745083553
Amphiprion_chrysogaster,generalist,ssp585_2050,230089.20173042332,63717.767197387795,27.69263690698562
Amphiprion_chrysogaster,generalist,ssp585_2100,232375.8666775472,64033.16863557294,27.55586006029946
Amphiprion_ephippium,specialist,current,3494742.7173823607,1175045.4252172029,33.623231243109586
Amphiprion_ephippium,specialist,ssp119_2050,1897594.1830668529,707782.3793411325,37.298932809607855
Amphiprion_ephippium,specialist,ssp119_2100,1886595.742110284,701572.4168235562,37.187215107291635
Amphiprion_ephippium,specialist,ssp585_2050,1882838.1930982452,715000.6082884956,37.974617835425825
Amphiprion_ephippium,specialist,ssp585_2100,2044726.3901940605,747413.4751516567,36.55322681489533
Amphiprion_frenatus,specialist,current,3247444.7329784273,337739.9409124383,10.400175174118411
Amphiprion_frenatus,specialist,ssp119_2050,1905529.9997821958,377970.56861655426,19.835456206921787
Amphiprion_frenatus,specialist,ssp119_2100,1894424.0195555878,376788.4899574849,19.889342938434424
Amphiprion_frenatus,specialist,ssp585_2050,1919917.2845760745,391047.59526220505,20.367939723431885
Amphiprion_frenatus,specialist,ssp585_2100,1992471.519237117,397959.21069399704,19.973144250833194
Amphiprion_fuscocaudatus,generalist,current,2883835.3171125557,50215.614556308865,1.7412788538350839
Amphiprion_fuscocaudatus,generalist,ssp119_2050,2071843.5160827516,185351.10457638366,8.94619227454148
Amphiprion_fuscocaudatus,generalist,ssp119_2100,2067422.1663957357,184886.99319717957,8.942875635289548
Amphiprion_fuscocaudatus,generalist,ssp585_2050,2072774.951774803,182701.79442594247,8.814357500292301
Amphiprion_fuscocaudatus,generalist,ssp585_2100,2329371.439715294,205236.46035363863,8.810808652257002
Amphiprion_latifasciatus,generalist,current,546320.3637453037,0,0
Amphiprion_latifasciatus,generalist,ssp119_2050,715833.2569383532,91.35277460363102,0.012761739374103742
Amphiprion_latifasciatus,generalist,ssp119_2100,712442.6324291704,207.00782393330525,0.02905606915008494
Amphiprion_latifasciatus,generalist,ssp585_2050,724815.6689311238,209.97887047421648,0.02896996843126606
Amphiprion_latifasciatus,generalist,ssp585_2100,549043.9867291765,86.17701480560685,0.015695830732796068
Amphiprion_leucokranos,generalist,current,2028587.95634302,87199.68391076865,4.298540945099834
Amphiprion_leucokranos,generalist,ssp119_2050,553896.4944984649,2050.9559409445824,0.37027783373167145
Amphiprion_leucokranos,generalist,ssp119_2100,553627.0935556265,1928.446361572424,0.3483294773720572
Amphiprion_leucokranos,generalist,ssp585_2050,553915.0607208462,2018.13388305936,0.36433995501639355
Amphiprion_leucokranos,generalist,ssp585_2100,553264.9229185865,2596.415964805577,0.46928982070812436
Amphiprion_melanopus,specialist,current,2739964.6754563143,303969.8473293024,11.093933073377276
Amphiprion_melanopus,specialist,ssp119_2050,1245828.7818275306,100395.69077388613,8.058546426148041
Amphiprion_melanopus,specialist,ssp119_2100,1250844.5456228293,106283.06257793054,8.496904187643024
Amphiprion_melanopus,specialist,ssp585_2050,1252467.6793289676,100758.00074627595,8.04475855219345
Amphiprion_melanopus,specialist,ssp585_2100,1278881.6238771728,113940.9725036881,8.909422918929305
Amphiprion_nigripes,specialist,current,2017550.3926344411,218425.5840160854,10.826276499139807
Amphiprion_nigripes,specialist,ssp119_2050,1950093.3706272275,431158.1029024826,22.109613282968347
Amphiprion_nigripes,specialist,ssp119_2100,1938604.0839292733,436342.6928655509,22.50808695198592
Amphiprion_nigripes,specialist,ssp585_2050,1962111.266234631,442688.9933997743,22.561870013075865
Amphiprion_nigripes,specialist,ssp585_2100,1822252.3808745262,425792.505732014,23.36627517685941
Amphiprion_ocellaris,specialist,current,3758397.1066942513,696151.3852821137,18.522560695945806
Amphiprion_ocellaris,specialist,ssp119_2050,2258936.4516701666,648229.1258770801,28.696209023401504
