species,guild,scenario,niche_breadth_B2,suitability_change
Amphiprion_rubrocinctus,Anemonefish,ssp585_2100,0.12869041727464914,-0.03413842942635281
Amphiprion_sebae,Anemonefish,ssp119_2050,0.8119523265800214,-0.023649833148037473
Amphiprion_sebae,Anemonefish,ssp119_2100,0.8119523265800214,-0.025305418552205507
Amphiprion_sebae,Anemonefish,ssp585_2050,0.8119523265800214,-0.025299472968484955
Amphiprion_sebae,Anemonefish,ssp585_2100,0.8119523265800214,-0.04068896857976581
Amphiprion_tricinctus,Anemonefish,ssp119_2050,0.213163503794498,-2.6461499591955764e-4
Amphiprion_tricinctus,Anemonefish,ssp119_2100,0.213163503794498,5.8296772659771544e-6
Amphiprion_tricinctus,Anemonefish,ssp585_2050,0.213163503794498,-3.084538122659394e-4
Amphiprion_tricinctus,Anemonefish,ssp585_2100,0.213163503794498,6.347978865544796e-5
Cryptodendrum_adhaesivum,Host Anemone,ssp119_2050,0.70621059199804,0.017142687543478915
Cryptodendrum_adhaesivum,Host Anemone,ssp119_2100,0.70621059199804,0.016292690656327286
Cryptodendrum_adhaesivum,Host Anemone,ssp585_2050,0.70621059199804,0.016788892009144178
Cryptodendrum_adhaesivum,Host Anemone,ssp585_2100,0.70621059199804,0.005425522874380592
Entacmaea_quadricolor,Host Anemone,ssp119_2050,0.7122823401494784,-0.0070376846568110316
Entacmaea_quadricolor,Host Anemone,ssp119_2100,0.7122823401494784,-0.007374798535374543
Entacmaea_quadricolor,Host Anemone,ssp585_2050,0.7122823401494784,-0.007407492387913966
Entacmaea_quadricolor,Host Anemone,ssp585_2100,0.7122823401494784,-0.014169669618635925
Heteractis_aurora,Host Anemone,ssp119_2050,0.7158064007958898,-0.03220984985247098
Heteractis_aurora,Host Anemone,ssp119_2100,0.7158064007958898,-0.032446386021017966
Heteractis_aurora,Host Anemone,ssp585_2050,0.7158064007958898,-0.032475224152355944
Heteractis_aurora,Host Anemone,ssp585_2100,0.7158064007958898,-0.03642450544398083
Heteractis_crispa,Host Anemone,ssp119_2050,0.5850317823753406,0.02448718459942607
Heteractis_crispa,Host Anemone,ssp119_2100,0.5850317823753406,0.024454852090504606
Heteractis_crispa,Host Anemone,ssp585_2050,0.5850317823753406,0.023486603595413495
Heteractis_crispa,Host Anemone,ssp585_2100,0.5850317823753406,0.012121801610999667
Heteractis_magnifica,Host Anemone,ssp119_2050,0.5533785392848506,0.011069155906862178
Heteractis_magnifica,Host Anemone,ssp119_2100,0.5533785392848506,0.01070638666378776
Heteractis_magnifica,Host Anemone,ssp585_2050,0.5533785392848506,0.01025539430611796
Heteractis_magnifica,Host Anemone,ssp585_2100,0.5533785392848506,9.953357755112732e-4
Heteractis_malu,Host Anemone,ssp119_2050,0.780749156674412,0.013887390702558193
Heteractis_malu,Host Anemone,ssp119_2100,0.780749156674412,0.014225250889278845
Heteractis_malu,Host Anemone,ssp585_2050,0.780749156674412,0.012626716597961185
Heteractis_malu,Host Anemone,ssp585_2100,0.780749156674412,0.002155918038851888
Stichodactyla_gigantea,Host Anemone,ssp119_2050,0.7193251282022557,-0.008819077829627745
Stichodactyla_gigantea,Host Anemone,ssp119_2100,0.7193251282022557,-0.009272776079023307
Stichodactyla_gigantea,Host Anemone,ssp585_2050,0.7193251282022557,-0.00851647207616888
Stichodactyla_gigantea,Host Anemone,ssp585_2100,0.7193251282022557,-0.006735108462328155
Stichodactyla_haddoni,Host Anemone,ssp119_2050,0.6970568185679756,-0.050194126979959425
Stichodactyla_haddoni,Host Anemone,ssp119_2100,0.6970568185679756,-0.04926655396552936
Stichodactyla_haddoni,Host Anemone,ssp585_2050,0.6970568185679756,-0.0497699906747785
Stichodactyla_haddoni,Host Anemone,ssp585_2100,0.6970568185679756,-0.046733933396491574
