species,model_type,iter,fold,auc
Amphiprion_akallopisos,HostOnly,25,1,0.539
Amphiprion_akallopisos,HostOnly,26,2,0.822
Amphiprion_akallopisos,HostOnly,27,3,0.298
Amphiprion_akallopisos,HostOnly,28,4,0.693
Amphiprion_akallopisos,HostOnly,29,1,0.567
Amphiprion_akallopisos,HostOnly,30,2,0.823
Amphiprion_akallopisos,HostOnly,31,3,0.314
Amphiprion_akallopisos,HostOnly,32,4,0.655
Amphiprion_akallopisos,HostOnly,33,1,0.561
Amphiprion_akallopisos,HostOnly,34,2,0.852
Amphiprion_akallopisos,HostOnly,35,3,0.306
Amphiprion_akallopisos,HostOnly,36,4,0.666
Amphiprion_akallopisos,HostOnly,37,1,0.565
Amphiprion_akallopisos,HostOnly,38,2,0.859
Amphiprion_akallopisos,HostOnly,39,3,0.336
Amphiprion_akallopisos,HostOnly,40,4,0.691
Amphiprion_akindynos,Combined,1,1,0.956
Amphiprion_akindynos,Combined,2,2,0.963
Amphiprion_akindynos,Combined,3,3,0.868
Amphiprion_akindynos,Combined,4,1,0.954
Amphiprion_akindynos,Combined,5,2,0.964
Amphiprion_akindynos,Combined,6,3,0.816
Amphiprion_akindynos,Combined,7,1,0.954
Amphiprion_akindynos,Combined,8,2,0.966
Amphiprion_akindynos,Combined,9,3,0.91
Amphiprion_akindynos,Combined,10,1,0.951
Amphiprion_akindynos,Combined,11,2,0.962
Amphiprion_akindynos,Combined,12,3,0.873
Amphiprion_akindynos,Combined,13,1,0.948
Amphiprion_akindynos,Combined,14,2,0.956
Amphiprion_akindynos,Combined,15,3,0.871
Amphiprion_akindynos,Combined,16,1,0.949
Amphiprion_akindynos,Combined,17,2,0.961
Amphiprion_akindynos,Combined,18,3,0.83
Amphiprion_akindynos,Combined,19,1,0.943
Amphiprion_akindynos,Combined,20,2,0.961
Amphiprion_akindynos,Combined,21,3,0.879
Amphiprion_akindynos,Combined,22,1,0.952
Amphiprion_akindynos,Combined,23,2,0.961
Amphiprion_akindynos,Combined,24,3,0.893
Amphiprion_akindynos,Combined,25,1,0.947
Amphiprion_akindynos,Combined,26,2,0.955
Amphiprion_akindynos,Combined,27,3,0.865
Amphiprion_akindynos,Combined,28,1,0.93
Amphiprion_akindynos,Combined,29,2,0.95
