species,group,model_type,scenario,thr,area_current_km2,area_future_km2,lon_current,lat_current,lon_future,lat_future,shift_km
Amphiprion_akallopisos,specialist,EnvOnly,ssp119_2050,0.33590165475,1828039.4167737723,2234173.313959952,94.980858,2.725665953775675,110.82366475837725,3.0688009479564453,1759.7846004380224
Amphiprion_akallopisos,specialist,EnvOnly,ssp119_2100,0.33590165475,1828039.4167737723,2224595.4941068375,94.980858,2.725665953775675,110.92738176189462,2.976524949521347,1771.1816529140208
Amphiprion_akallopisos,specialist,EnvOnly,ssp585_2050,0.33590165475,1828039.4167737723,2243645.6720800526,94.980858,2.725665953775675,110.79390975736817,3.1757229461431637,1756.6934649490765
Amphiprion_akallopisos,specialist,EnvOnly,ssp585_2100,0.33590165475,1828039.4167737723,2228554.2109610387,94.980858,2.725665953775675,110.72647675508131,2.835829951907382,1748.8008888538172
Amphiprion_akallopisos,specialist,Combined,ssp119_2050,0.264221545,2903456.847252618,2363126.6118532447,96.79104600000001,2.4888889577911577,110.77847275684465,3.941931933149086,1561.211164428973
Amphiprion_akallopisos,specialist,Combined,ssp119_2100,0.264221545,2903456.847252618,2365177.328332633,96.79104600000001,2.4888889577911577,110.64194775221466,3.930390933344809,1546.0128870021592
Amphiprion_akallopisos,specialist,Combined,ssp585_2050,0.264221545,2903456.847252618,2380323.601944777,96.79104600000001,2.4888889577911577,110.56313474954187,4.070424930969983,1538.898318420642
Amphiprion_akallopisos,specialist,Combined,ssp585_2100,0.264221545,2903456.847252618,2300449.6366717354,96.79104600000001,2.4888889577911577,110.40845674429625,3.591577939090712,1516.9855629761328
Amphiprion_akindynos,generalist,EnvOnly,ssp119_2050,0.16786699,1380798.142986403,593010.2210547528,122.50988711395102,-9.110140420581688,115.39135805522363,12.394330433052618,2517.224880752609
Amphiprion_akindynos,generalist,EnvOnly,ssp119_2100,0.16786699,1380798.142986403,586489.6684579606,122.50988711395102,-9.110140420581688,115.21740288878851,12.316130334542084,2515.0743360148813
Amphiprion_akindynos,generalist,EnvOnly,ssp585_2050,0.16786699,1380798.142986403,593071.0012500942,122.50988711395102,-9.110140420581688,115.6958086897897,12.139759357222687,2479.9786345911048
Amphiprion_akindynos,generalist,EnvOnly,ssp585_2100,0.16786699,1380798.142986403,586560.3299826211,122.50988711395102,-9.110140420581688,114.1471293149869,14.7939315083968,2813.353222356432
Amphiprion_akindynos,generalist,Combined,ssp119_2050,0.147401207,1255112.4581111008,1044007.585433443,121.2687833911332,-8.41010975520843,114.14499256884224,14.413786386703288,2656.75022782282
Amphiprion_akindynos,generalist,Combined,ssp119_2100,0.147401207,1255112.4581111008,1033605.4161541542,121.2687833911332,-8.41010975520843,114.04455985846653,14.642199664623472,2684.2317184905964
Amphiprion_akindynos,generalist,Combined,ssp585_2050,0.147401207,1255112.4581111008,1046055.3175243209,121.2687833911332,-8.41010975520843,113.61031410867082,13.946053315226175,2625.6214047799854
Amphiprion_akindynos,generalist,Combined,ssp585_2100,0.147401207,1255112.4581111008,1139405.682255541,121.2687833911332,-8.41010975520843,112.90098424534736,14.007954929197986,2658.2848893712985
Amphiprion_allardi,generalist,EnvOnly,ssp119_2050,0.2049641775,610190.5554045519,420519.66321812564,112.57558475310425,-4.418767371399914,100.02599739331063,2.5735281371593093,1596.5189612764116
Amphiprion_allardi,generalist,EnvOnly,ssp119_2100,0.2049641775,610190.5554045519,416242.0828774861,112.57558475310425,-4.418767371399914,99.76593876712235,1.836311340189968,1584.1514012711225
Amphiprion_allardi,generalist,EnvOnly,ssp585_2050,0.2049641775,610190.5554045519,423913.5231164877,112.57558475310425,-4.418767371399914,100.4073537024585,3.0337228084600594,1585.7453703519407
Amphiprion_allardi,generalist,EnvOnly,ssp585_2100,0.2049641775,610190.5554045519,409527.4521774343,112.57558475310425,-4.418767371399914,98.93969278298333,3.156229325329012,1733.4437116557142
Amphiprion_allardi,generalist,Combined,ssp119_2050,0.22388750975,620409.1606285223,840165.2242203569,111.35096766524013,-3.101809267415651,101.67957899887207,3.102364388424324,1277.2230596152033
Amphiprion_allardi,generalist,Combined,ssp119_2100,0.22388750975,620409.1606285223,854911.3959570747,111.35096766524013,-3.101809267415651,101.65300926729631,2.772374139905811,1260.3502849497615
Amphiprion_allardi,generalist,Combined,ssp585_2050,0.22388750975,620409.1606285223,848575.3508092973,111.35096766524013,-3.101809267415651,101.81239646768584,3.313307508691159,1277.7387649071777
Amphiprion_allardi,generalist,Combined,ssp585_2100,0.22388750975,620409.1606285223,834338.5008595575,111.35096766524013,-3.101809267415651,100.61849604512555,2.7744900538724924,1360.104655124603
Amphiprion_chrysogaster,generalist,EnvOnly,ssp119_2050,0.099674175,1045969.894635405,229061.3492340154,114.27182216075961,-1.4008589480429763,114.56995396969894,-0.3528620450984294,121.15435025846071
Amphiprion_chrysogaster,generalist,EnvOnly,ssp119_2100,0.099674175,1045969.894635405,234689.18596247685,114.27182216075961,-1.4008589480429763,114.27789591450345,-0.39876280807097947,111.43005292637383
Amphiprion_chrysogaster,generalist,EnvOnly,ssp585_2050,0.099674175,1045969.894635405,230089.20173042332,114.27182216075961,-1.4008589480429763,114.4748877081988,-0.27703304035151627,126.98685174640423
Amphiprion_chrysogaster,generalist,EnvOnly,ssp585_2100,0.099674175,1045969.894635405,232375.8666775472,114.27182216075961,-1.4008589480429763,114.48531302920824,-0.37890265070247847,116.08882528523479
Amphiprion_chrysogaster,generalist,Combined,ssp119_2050,0.177874794,660580.0086807399,264269.8454849151,117.31579764332655,-2.2385123119125843,99.24004465096782,3.5231476751318223,2108.6389110279956
