[22:53:15] Host | Iter 1 OK | fold: 1 | AUC: 0.841 | TSS: 0.583
[22:53:33] Host | Iter 2 OK | fold: 2 | AUC: 0.812 | TSS: 0.505
[22:53:49] Host | Iter 3 OK | fold: 3 | AUC: 0.808 | TSS: 0.488
[22:54:12] Host | Iter 4 OK | fold: 4 | AUC: 0.776 | TSS: 0.481
[22:54:31] Host | Iter 5 OK | fold: 1 | AUC: 0.839 | TSS: 0.587
[22:54:47] Host | Iter 6 OK | fold: 2 | AUC: 0.791 | TSS: 0.531
[22:55:11] Host | Iter 7 OK | fold: 3 | AUC: 0.816 | TSS: 0.496
[22:55:25] Host | Iter 8 OK | fold: 4 | AUC: 0.788 | TSS: 0.544
[22:55:42] Host | Iter 9 OK | fold: 1 | AUC: 0.847 | TSS: 0.607
[22:55:59] Host | Iter 10 OK | fold: 2 | AUC: 0.773 | TSS: 0.429
