[22:54:22] Host | Iter 1 OK | fold: 1 | AUC: 0.723 | TSS: 0.367
[22:54:43] Host | Iter 2 OK | fold: 2 | AUC: 0.729 | TSS: 0.41
[22:55:05] Host | Iter 3 OK | fold: 3 | AUC: 0.738 | TSS: 0.409
[22:55:28] Host | Iter 4 OK | fold: 4 | AUC: 0.784 | TSS: 0.444
[22:55:44] Host | Iter 5 OK | fold: 1 | AUC: 0.753 | TSS: 0.389
[22:56:05] Host | Iter 6 OK | fold: 2 | AUC: 0.747 | TSS: 0.417
[22:56:20] Host | Iter 7 OK | fold: 3 | AUC: 0.677 | TSS: 0.31
[22:56:38] Host | Iter 8 OK | fold: 4 | AUC: 0.777 | TSS: 0.46
[22:56:52] Host | Iter 9 OK | fold: 1 | AUC: 0.756 | TSS: 0.412
[22:57:08] Host | Iter 10 OK | fold: 2 | AUC: 0.763 | TSS: 0.394
