[22:53:59] Host | Iter 1 OK | fold: 1 | AUC: 0.834 | TSS: 0.602
[22:54:21] Host | Iter 2 OK | fold: 2 | AUC: 0.75 | TSS: 0.391
[22:54:44] Host | Iter 3 OK | fold: 3 | AUC: 0.731 | TSS: 0.45
[22:55:05] Host | Iter 4 OK | fold: 4 | AUC: 0.557 | TSS: 0.215
[22:55:25] Host | Iter 5 OK | fold: 1 | AUC: 0.793 | TSS: 0.461
[22:55:43] Host | Iter 6 OK | fold: 2 | AUC: 0.757 | TSS: 0.424
[22:56:01] Host | Iter 7 OK | fold: 3 | AUC: 0.789 | TSS: 0.412
[22:56:21] Host | Iter 8 OK | fold: 4 | AUC: 0.636 | TSS: 0.277
[22:56:37] Host | Iter 9 OK | fold: 1 | AUC: 0.813 | TSS: 0.542
[22:56:50] Host | Iter 10 OK | fold: 2 | AUC: 0.691 | TSS: 0.292
