[22:50:18] Host | Iter 1 OK | fold: 2 | AUC: 0.894 | TSS: 0.652
[22:50:36] Host | Iter 2 OK | fold: 3 | AUC: 0.578 | TSS: 0.251
[22:50:58] Host | Iter 3 OK | fold: 2 | AUC: 0.912 | TSS: 0.765
[22:51:14] Host | Iter 4 OK | fold: 3 | AUC: 0.533 | TSS: 0.236
[22:51:32] Host | Iter 5 OK | fold: 2 | AUC: 0.817 | TSS: 0.507
[22:51:55] Host | Iter 6 OK | fold: 3 | AUC: 0.513 | TSS: 0.188
[22:52:11] Host | Iter 7 OK | fold: 2 | AUC: 0.882 | TSS: 0.705
[22:52:30] Host | Iter 8 OK | fold: 3 | AUC: 0.553 | TSS: 0.294
[22:52:48] Host | Iter 9 OK | fold: 2 | AUC: 0.909 | TSS: 0.702
[22:53:06] Host | Iter 10 OK | fold: 3 | AUC: 0.552 | TSS: 0.247
