decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,depth,source,species
145.7899933,-5.230000019,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Stichodactyla_gigantea
152.119995117,-3.40000009537,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_gigantea
132.6999969,-5.699999809,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Stichodactyla_gigantea
150.699996948,-5.69999980927,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_gigantea
166.4100037,-22.299999239999998,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Stichodactyla_gigantea
73.5,4.19999980927,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_gigantea
39.2999992371,-6.09999990463,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_gigantea
130.1199951,-1.860000014,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Stichodactyla_gigantea
38.2900009155,21.5499992371,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_gigantea
71.9333343506,23.3333339691,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_gigantea
142.2599945,-9.890000343,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Stichodactyla_gigantea
132.699996948,-5.69999980927,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_gigantea
145.789993286,-5.23000001907,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_gigantea
69.0199966431,22.4200000763,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_gigantea
127.949996948,26.6499996185,NA,HumanObservation,NA,NA,20,OBIS,Stichodactyla_gigantea
145.8399963,-5.179999828,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,7,OBIS,Stichodactyla_gigantea
