decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,depth,source,species
128,-3,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
120.60554,13.90802,2014-05-08,PreservedSpecimen,NA,NA,NA,OBIS,Heteractis_aurora
152.119995117,-3.40000009537,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
144.070007324,-9.92000007629,NA,HumanObservation,NA,NA,0,OBIS,Heteractis_aurora
134.5,-6.19999980927,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
55.666668,-4.582778,1833,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
144.899993896,-4.19999980927,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
119.300003052,-5.5,NA,HumanObservation,NA,NA,19,OBIS,Heteractis_aurora
120.61042,13.92994,2014-05-13,PreservedSpecimen,NA,NA,NA,OBIS,Heteractis_aurora
128,26.0799999237,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
142.259994507,-9.89000034332,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
53.0200004578,-6.21999979019,NA,HumanObservation,NA,NA,12,OBIS,Heteractis_aurora
145.442,-14.6857,2014-11-23 00:11:00,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
152.7100067,-4.659999847,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,1.5,OBIS,Heteractis_aurora
145.839996338,-5.17999982834,NA,HumanObservation,NA,NA,21,OBIS,Heteractis_aurora
160.0634,-8.95275,2006-06-16,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
120.61095,13.93216,2014-05-13,PreservedSpecimen,NA,NA,NA,OBIS,Heteractis_aurora
78.8867,8.9532,2002/2011,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
178.050003052,-18.75,NA,HumanObservation,NA,NA,3,OBIS,Heteractis_aurora
55.3699989319,-5.82000017166,NA,HumanObservation,NA,NA,12.5,OBIS,Heteractis_aurora
144.75,13.470000267,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
121.6999969,-18.89999962,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
128.1600037,-3.700000048,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Heteractis_aurora
147.179992676,-9.5,NA,HumanObservation,NA,NA,NA,OBIS,Heteractis_aurora
145.65401,-14.6591,2016-01-24 00:01:00,HumanObservation,NA,present,NA,OBIS,Heteractis_aurora
41.94432,16.4892,2013-03-09,PreservedSpecimen,NA,NA,NA,OBIS,Heteractis_aurora
118.625017,-20.295685,2025-01-04T07:37:01,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.3188,22.33116,2025-01-02T13:07:45,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.318524,22.331523,2025-01-02T13:08:39,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.615681,-20.303912,2025-01-18T06:03:52,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.615673,-20.303892,2025-01-18T06:04:31,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
120.863285,13.744791,2025-01-28T12:30:52,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.943406,4.574861,2025-01-24T10:47,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.760743,-32.105501,2025-02-15T10:25,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
98.022777,9.364252,2025-02-15T15:38,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.624768,-20.295671,2025-03-01T06:43:39,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
166.436329,-22.300946,2025-03-02T09:03,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.748767,-32.257014,2025-03-06T12:51,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.618653,-20.302388,2025-03-13T16:25:08,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
125.613611,-8.529444,2025-03-06,PRESERVED_SPECIMEN,NA,PRESENT,NA,GBIF,Heteractis_aurora
114.427217,22.465857,2025-04-04T11:49,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.748939,-32.25703,2025-04-07T13:37,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
124.807,1.631,2025-04-11T11:06,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
124.768,1.628,2025-04-12T15:38,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
125.22,1.458,2025-04-17T09:52,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.925346,4.561709,2025-04-28T11:01:37,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.404757,22.412908,2025-05-27T12:04,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
139.870044,34.996546,2025-05-31T11:07,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.585493,-20.305008,2025-06-11T16:21:57,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.318096,22.311669,2025-06-07T23:08:08,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
166.417,-22.477,2025-06-21T11:24,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.354001,22.326839,2025-06-24T10:43:41,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.354242,22.326497,2025-06-24T10:43:37,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.621996,-20.298786,2025-06-01T08:08:16,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
134.275592,7.119563,2025-06-11T11:46,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.607306,-20.30655,2025-07-08T15:46:32,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.349895,22.259653,2025-07-13T13:35,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.391223,22.387036,2025-07-27T11:18,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.620949,-8.308143,2025-08-15T15:28,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.615982,-20.304024,2025-08-10T17:44:14,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.384665,22.404658,2025-08-09T11:14,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
166.437731,-22.300047,2025-09-05T09:22,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
166.437227,-22.300469,2025-09-05T09:19,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.585761,-20.304643,2025-09-20T16:51:02,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
127.773226,26.443641,2025-09-29,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
122.206822,-18.007839,2025-09-22T16:03:32,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
118.633686,-20.296958,2025-10-11T07:48:37,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
125.273245,1.515234,2025-10-13T09:19,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
122.236084,-17.969793,2025-10-25T05:27:29,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
115.653,-8.333389,2025-11-08T12:21,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
72.959866,3.681456,2025-11-11T09:00,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
114.296657,22.32624,2025-11-30T17:21,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Heteractis_aurora
