decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,depth,source,species
159.0459,-31.52069,2022-12-12,MachineObservation,NA,present,NA,OBIS,Stichodactyla_haddoni
119.300003052,-5.5,NA,HumanObservation,NA,NA,14,OBIS,Stichodactyla_haddoni
120.96561,13.62801,2014-05-04,PreservedSpecimen,NA,NA,NA,OBIS,Stichodactyla_haddoni
142.2599945,-9.890000343,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Stichodactyla_haddoni
128.160003662,-3.70000004768,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_haddoni
145.6799927,-15.52999973,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Stichodactyla_haddoni
126.5,25.5,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_haddoni
151.5,7.566999912,1947-07-02,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Stichodactyla_haddoni
145.7899933,-5.230000019,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Stichodactyla_haddoni
145.679992676,-15.529999733,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_haddoni
150,-22,NA,HumanObservation,NA,NA,NA,OBIS,Stichodactyla_haddoni
54.69228,16.96453,2022-01-10,PreservedSpecimen,NA,NA,NA,OBIS,Stichodactyla_haddoni
145.44299,-14.6604,2014-11-30 00:11:00,HumanObservation,NA,present,NA,OBIS,Stichodactyla_haddoni
146.77,-19.18666,2005-09-15,PreservedSpecimen,NA,present,NA,OBIS,Stichodactyla_haddoni
128.1600037,-3.700000048,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Stichodactyla_haddoni
58.75833,23.51389,2020-01-18,PreservedSpecimen,NA,NA,NA,OBIS,Stichodactyla_haddoni
38.948,22.2010667,2012-10-09,PreservedSpecimen,NA,NA,NA,OBIS,Stichodactyla_haddoni
48.3375015259,-13.5500001907,1963-12-30T12:00:00Z,PreservedSpecimen,NA,NA,NA,OBIS,Stichodactyla_haddoni
145.5670013,-16.38299942,NA,HumanObservation,South Pacific Regional Fisheries Management Organisation Vulnerable Marine Ecosystem dataset,present,NA,OBIS,Stichodactyla_haddoni
55.666668,-4.582778,1893,HumanObservation,NA,present,NA,OBIS,Stichodactyla_haddoni
