scientificName,decimalLongitude,decimalLatitude,date_year,month,day,eventDate,dataset_id,occurrenceStatus,depth,source
Entacmaea quadricolor,157.994067,-8.497533,2006,8,25,2006-08-25,7cab72d0-12e0-46ac-823a-786cdb3ade40,present,NA,obis.org
Entacmaea quadricolor,-170.6928864,-14.3113699,2004,2,23,2004-02-23,6c813a6c-86f7-4d45-beb5-33eebd8de938,present,13.5,obis.org
Entacmaea quadricolor,145.465,-14.6876,2016,NA,NA,2016-04-03 23:04:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Entacmaea quadricolor,129.0833333333,-2.95,1975,1,21,1975-01-21,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Entacmaea quadricolor,122.1333,-17.4833,1988,NA,NA,1988-04-03T14:00:00Z,0a6c216b-0abe-44d2-a45c-43d9611e2a03,present,NA,obis.org
Entacmaea quadricolor,129.8666666667,-4.5166666667,1975,1,29,1975-01-29,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,2.5,obis.org
Entacmaea quadricolor,131.4166666667,-3.9833333333,1975,1,25,1975-01-25,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,3,obis.org
Entacmaea quadricolor,128.2,-3.7166666667,1975,1,23,1975-01-23,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Entacmaea quadricolor,156.989917,-8.171283,2006,8,10,2006-08-10,7cab72d0-12e0-46ac-823a-786cdb3ade40,present,NA,obis.org
Entacmaea quadricolor,145.446,-14.6644,2011,NA,NA,2011-05-14 23:05:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Entacmaea quadricolor,98.6769444444,7.6686111111,1964,12,2,1964-12-02/03,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,1.83,obis.org
Entacmaea quadricolor,122.1833,-18,1982,NA,NA,1982-07-18T14:00:00Z,0a6c216b-0abe-44d2-a45c-43d9611e2a03,present,NA,obis.org
Entacmaea quadricolor,132.3666666667,-5.5166666667,1977,10,27,1977-10-27,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Entacmaea quadricolor,145.448,-14.6506,2016,NA,NA,2016-03-13 00:03:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Entacmaea quadricolor,145.45399,-14.6465,2011,NA,NA,2011-05-14 23:05:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Entacmaea quadricolor,126.5631,33.22750556,2009,NA,NA,2009-02-03,22084d80-20d1-40d6-9354-c6dd59f303f8,NA,NA,obis.org
Entacmaea quadricolor,168,-29.083,1980,NA,NA,1980-04-16,517ac935-af0f-4358-88fb-7093015182af,present,NA,obis.org
Entacmaea quadricolor,145.44501,-14.676,2011,NA,NA,2011-05-14 23:05:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Entacmaea quadricolor,106.55,-5.6,1977,11,11,1977-11-11,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,3,obis.org
Entacmaea quadricolor,98.6769444444,7.6686111111,1964,12,2,1964-12-02,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,4.57,obis.org
Entacmaea quadricolor,132.05,-11.1917,1981,NA,NA,1981-10-16 23:10:00,e00e2de4-7e7a-4fae-a1da-d3b49aefbf08,present,NA,obis.org
Entacmaea quadricolor,124.5678,-15.4141,1990,NA,NA,1990-07-12T14:00:00Z,0a6c216b-0abe-44d2-a45c-43d9611e2a03,present,NA,obis.org
Entacmaea quadricolor,157.037425,-8.1432,2006,8,11,2006-08-11,7cab72d0-12e0-46ac-823a-786cdb3ade40,present,NA,obis.org
Entacmaea quadricolor,145.44299,-14.6731,2009,NA,NA,2009-04-14 23:04:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Entacmaea quadricolor,98.6772222222,-7.6613888889,1964,12,5,1964-12-05,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,7.62,obis.org
Entacmaea quadricolor,145.44701,-14.6505,2016,NA,NA,2016-12-04 00:12:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Entacmaea quadricolor,123.5333,-15.35,1991,NA,NA,1991-08-23T14:00:00Z,0a6c216b-0abe-44d2-a45c-43d9611e2a03,present,NA,obis.org
Entacmaea quadricolor,160.1011585,-8.9634165,2006,6,16,2006-06-16,7cab72d0-12e0-46ac-823a-786cdb3ade40,present,NA,obis.org
Entacmaea quadricolor,157.0082,-8.1988915,2006,8,11,2006-08-11,7cab72d0-12e0-46ac-823a-786cdb3ade40,present,NA,obis.org
Entacmaea quadricolor,171.5941915,7.064992,2007,NA,NA,2007-09-18,a9b5a5e3-6be6-4019-95e3-87a124e0a949,present,NA,obis.org
Entacmaea quadricolor,126.5631,33.22750556,2009,NA,NA,2009-02-03,22084d80-20d1-40d6-9354-c6dd59f303f8,NA,NA,obis.org
Entacmaea quadricolor,126.1252333,33.17336111,2016,NA,NA,2016-09-24,22084d80-20d1-40d6-9354-c6dd59f303f8,NA,NA,obis.org
Entacmaea quadricolor,73.5258333333,4.19,1964,11,7,1964-11-07,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,0.76,obis.org
Entacmaea quadricolor,-170.6783333333,-14.287,2001,10,4,2001-10-04,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,4.5,obis.org
Entacmaea quadricolor,157.037425,-8.1432,2006,8,11,2006-08-11,7cab72d0-12e0-46ac-823a-786cdb3ade40,present,NA,obis.org
Entacmaea quadricolor,168,-29.083,1980,NA,NA,1980-04-16,517ac935-af0f-4358-88fb-7093015182af,present,NA,obis.org
Entacmaea quadricolor,160.015683,-8.9741835,2006,6,16,2006-06-16,7cab72d0-12e0-46ac-823a-786cdb3ade40,present,NA,obis.org
Entacmaea quadricolor,58.48965,20.3987,2005,NA,NA,2005-01-18,c5687a17-e454-40f9-9a4b-d04b2c812d74,NA,NA,obis.org
Entacmaea quadricolor,125.3333333333,24.7833333333,1977,6,25,1977-06-25,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Entacmaea quadricolor,145.446,-14.6752,2018,NA,NA,2018-03-31 00:03:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Entacmaea quadricolor,132.05,-11.1917,1981,NA,NA,1981-10-16 23:10:00,e00e2de4-7e7a-4fae-a1da-d3b49aefbf08,present,NA,obis.org
Entacmaea quadricolor,145.451,-14.6904,2011,NA,NA,2011-05-14 23:05:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
