scientificName,decimalLongitude,decimalLatitude,date_year,month,day,eventDate,dataset_id,occurrenceStatus,depth,source
Radianthus crispa,145.787948608,18.1683197021,2007,6,5,2007-06-05T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,12,obis.org
Radianthus crispa,127.9447313,26.5974838,2007,NA,NA,2007-07-31,61a0fac8-6bba-4c30-986b-248bc12da62c,Present,5,obis.org
Radianthus crispa,145.208724976,20.0134792328,2007,6,1,2007-06-01T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,13,obis.org
Radianthus crispa,58.73971,23.52733,2020,NA,NA,2020-01-17,c5687a17-e454-40f9-9a4b-d04b2c812d74,NA,NA,obis.org
Radianthus crispa,145.452,-14.6848,2009,NA,NA,2009-04-14 23:04:00,0e4e4700-5e70-48b1-b100-d6b05888dfa9,present,NA,obis.org
Radianthus crispa,120.84127,13.65083,2014,5,4,2014-05-04,aa16d305-d413-4c4a-90be-b1ec3298d58d,NA,NA,obis.org
Radianthus crispa,145.787948608,18.1683197021,2007,6,5,2007-06-05T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,12,obis.org
Radianthus crispa,122.98484,-12.26233,1986,NA,NA,1986-09-11T14:00:00Z,0a6c216b-0abe-44d2-a45c-43d9611e2a03,present,NA,obis.org
Radianthus crispa,153.55,-27.4,2005,NA,NA,2005-02-18,6078be2d-e1af-47b3-bd70-3956dd95f664,present,NA,obis.org
Radianthus crispa,145.208724976,20.0134792328,2007,6,1,2007-06-01T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,13,obis.org
Radianthus crispa,147.731,-18.9445,1987,NA,NA,1987-02-02,6078be2d-e1af-47b3-bd70-3956dd95f664,present,NA,obis.org
Radianthus crispa,99.8553,10.1014,2012,7,30,2012-07-30T09:00:00,4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9,present,9,obis.org
Radianthus crispa,46.2066688538,-9.3983297348,1967,8,25,1967-08-25T12:00:00Z,89e23fc8-3f61-4480-9de3-358fe6eefe0b,NA,3,obis.org
Radianthus crispa,48.2466697693,-13.4772195816,1964,1,21,1964-01-21T12:00:00Z,89e23fc8-3f61-4480-9de3-358fe6eefe0b,NA,2,obis.org
Radianthus crispa,145.208724976,20.0134792328,2007,6,1,2007-06-01T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,13,obis.org
Radianthus crispa,127.9447313,26.5974838,2007,NA,NA,2007-07-09,61a0fac8-6bba-4c30-986b-248bc12da62c,Present,2,obis.org
Radianthus crispa,145.787948608,18.1683197021,2007,6,5,2007-06-05T12:00:00Z,da77ef95-bff6-43f9-8af8-2a1dfa400ba8,NA,12,obis.org
Radianthus crispa,41.3852,16.9789,2014,NA,NA,2014-10-24,c5687a17-e454-40f9-9a4b-d04b2c812d74,NA,NA,obis.org
Radianthus crispa,115.416999817,-20.6669998169,1966,9,6,1966-09-06T12:00:00Z,89e23fc8-3f61-4480-9de3-358fe6eefe0b,NA,NA,obis.org
Radianthus crispa,122.98484,-12.26233,1986,NA,NA,1986-09-12,4de38683-84d2-4ee5-b45c-582b31c51c18,present,NA,obis.org
Radianthus crispa,38.8301,21.7794,2014,NA,NA,2014-11-08,c5687a17-e454-40f9-9a4b-d04b2c812d74,NA,NA,obis.org
