scientificName,decimalLongitude,decimalLatitude,date_year,month,day,eventDate,dataset_id,bathymetry,occurrenceStatus,sst,source
"Stichodactyla gigantea (Forsskål, 1775)",132.721944,-5.597222,1977,10,24,1977-10-24,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",132.721944,-5.597222,1977,10,24,1977-10-24,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Stoichactis giganteus (Forsskål, 1775)",93.736111,7.237777,NA,NA,NA,,8598edb6-f762-11e1-a439-00145eb45e9a,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.837748,1.230814,2025,1,30,2025-01-30T17:52,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.837748,1.230814,2025,1,30,2025-01-30T17:53,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.837748,1.230814,2025,1,30,2025-01-30T17:52,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.830321,1.249404,2024,11,16,2024-11-16T17:04:52,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",112.351957,16.826717,2018,12,2,2018-12-02T02:54,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.760446,1.199279,2023,5,23,2023-05-23T09:02,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.760446,1.199279,2023,5,23,2023-05-23T08:54,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.760446,1.199279,2023,5,23,2023-05-23T08:32,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.768611,1.212222,2023,5,9,2023-05-09T07:54,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.760446,1.199279,2023,5,23,2023-05-23T08:06,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.723333,1.231944,2023,5,22,2023-05-22T06:44,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.730833,1.228611,2023,5,10,2023-05-10T08:24,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.746944,1.256389,2024,11,17,2024-11-17T18:35,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.760446,1.199279,2023,5,23,2023-05-23T08:00,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.746944,1.256389,2024,11,17,2024-11-17T17:27,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.760446,1.199279,2023,5,23,2023-05-23T08:32,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.768611,1.212222,2023,5,9,2023-05-09T08:06,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.760446,1.199279,2023,5,23,2023-05-23T08:18,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.760446,1.199279,2023,5,23,2023-05-23T08:30,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.760446,1.199279,2023,5,23,2023-05-23T09:03,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.760446,1.199279,2023,5,23,2023-05-23T09:02,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Stichodactyla gigantea (Forsskål, 1775)",103.760446,1.199279,2023,5,23,2023-05-23T08:32,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
