scientificName,decimalLongitude,decimalLatitude,date_year,month,day,eventDate,dataset_id,bathymetry,occurrenceStatus,sst,source
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.993954,9.943151,2014,5,16,2014-05-16T11:00,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.993095,9.943827,2014,5,16,2014-05-16,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",72.968616,3.074695,2011,3,17,2011-03-17T10:00,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",55.666668,-4.582778,NA,NA,NA,,8598edb6-f762-11e1-a439-00145eb45e9a,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",105.627278,-10.436721,2007,12,4,2007-12-04,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",130.833333,-0.2,2012,7,4,2012-07-04,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",11.7288,55.8396,2013,9,22,2013-09-22T10:00Z,66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",99.8118,10.1162,2010,8,13,2010-08-13T09:58Z,66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",98.676667,7.667778,1964,12,3,1964-12-03,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",98.678333,7.6725,1964,12,1,1964-12-01,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",73.505556,4.180556,1964,11,9,1964-11-09,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",73.518889,4.193889,1964,11,7,1964-11-07,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",55.500972,-4.588194,1964,10,25,1964-10-25,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",98.678333,7.673889,1964,12,1,1964-12-01,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",98.677222,9.671944,1964,12,4,1964-12-04,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",73.505556,4.180556,1964,11,5,1964-11-05,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",55.500833,-4.588333,1964,10,25,1964-10-25,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",98.678333,7.6725,1964,12,1,1964-12-01,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",98.678333,7.6725,1964,12,1,1964-12-01,44bcde48-ac71-46f2-bf73-24fc3c008b6c,NA,NA,NA,gbif.org
"Radianthus ritteri (Kwietniewski, 1897)",93,10,NA,NA,NA,,8598edb6-f762-11e1-a439-00145eb45e9a,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",123.40076,9.955661,2024,10,27,2024-10-27T15:08,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",147.2862,-9.564061,2003,5,2,2003-05-02,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",38.883625,-17.2322,2023,9,11,2023-09-11T14:38,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",97.89385,9.391456,2012,11,25,2012-11-25T16:15,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",97.877249,9.379545,2025,2,14,2025-02-14T11:38,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",98.825593,7.153991,2025,1,24,2025-01-24T09:14,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",-149.599262,-17.662864,2025,2,13,2025-02-13T17:13,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",73.08965,2.808663,2024,3,7,2024-03-07T11:46,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",125.261402,1.500295,2025,2,16,2025-02-16T08:38,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",-149.754099,-17.497861,2025,2,3,2025-02-03T12:50,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",73.462787,4.125417,2025,2,12,2025-02-12T20:24:36,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.978058,9.7991,2025,2,11,2025-02-11T23:26:43,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",73.510967,4.084234,2018,9,17,2018-09-17T18:53:06,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",73.163488,5.255396,2015,4,17,2015-04-17T08:28,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",103.860543,1.225203,2025,1,15,2025-01-15T18:30,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",-149.897308,-17.491542,2025,1,30,2025-01-30T15:51:47,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",73.163488,5.255396,2015,4,16,2015-04-16T10:45,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",-149.915554,-17.497223,2025,1,29,2025-01-29T13:37,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",130.696362,-0.477625,2025,1,5,2025-01-05T17:04,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",130.696362,-0.477625,2025,1,5,2025-01-05T16:47,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",130.663236,-0.565138,2025,1,10,2025-01-10T16:18,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",128.130112,-3.753577,2025,1,7,2025-01-07T12:58,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",121.056827,-8.385476,2024,9,19,2024-09-19T11:06,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",72.180053,10.848457,2021,11,30,2021-11-30T11:55,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",123.438113,-0.819705,2018,5,15,2018-05-15T05:36,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",130.677702,-0.555169,2025,1,5,2025-01-05T15:56,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",32.689959,-27.502974,2025,1,11,2025-01-11T08:31,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",99.840515,10.098874,2010,5,1,2010-05-01T00:00,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",72.753166,4.095776,2011,5,11,2011-05-11T00:00,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",39.53624,-6.173945,2021,2,15,2021-02-15T00:00,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,NA,gbif.org
"Heteractis magnifica (Quoy & Gaimard, 1833)",33.828964,27.184944,1999,9,24,1999-09-24T00:00,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",118.86434,4.595825,2024,6,23,2024-06-23T03:06,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.81301,10.11741,2024,8,22,2024-08-22T10:45,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",130.718655,-0.780183,2024,12,18,2024-12-18T11:38:46,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.813619,10.105562,2024,8,23,2024-08-23T11:06,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",72.999992,4.264542,2024,12,11,2024-12-11T20:39,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",118.012288,-8.693136,2021,4,16,2021-04-16T09:30,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",150.191451,-5.199388,2024,3,20,2024-03-20T09:53,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.81301,10.11741,2024,8,21,2024-08-21T05:15,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.81,10.10535,2024,8,22,2024-08-22T09:07,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.81,10.10535,2024,8,22,2024-08-22T19:36,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",160.213872,-9.128139,2024,6,14,2024-06-14T08:17,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",72.791189,3.466507,2024,12,3,2024-12-03T20:21,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",120.449651,-5.639973,2024,12,16,2024-12-16T14:11:16,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",73.526131,4.100959,2024,7,1,2024-07-01T16:53,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",72.981067,4.256797,2024,12,11,2024-12-11T22:24,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",116.011023,-8.718925,2024,12,22,2024-12-22T10:48:20,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",130.759109,-0.49559,2024,12,13,2024-12-13T15:25,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",115.59499,-8.277905,2024,11,10,2024-11-10T16:13,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",57.57687,-20.258285,2014,5,1,2014-05-01T15:12,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",114.667153,-8.130546,2023,11,17,2023-11-17T09:52,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",57.57687,-20.258285,2014,4,29,2014-04-29T15:02,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",39.383815,-4.656335,2024,11,28,2024-11-28T10:17,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",115.59499,-8.277905,2024,11,10,2024-11-10T16:11,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",115.59499,-8.277905,2024,11,10,2024-11-10T16:12,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",39.2919,-5.7401,2024,8,11,2024-08-11T16:04,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",98.764156,7.690758,2024,11,24,2024-11-24T21:56,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",129.66605,-4.56128,2024,10,12,2024-10-12T07:22,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",134.402956,7.286497,2024,10,27,2024-10-27T08:53,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",104.314132,0.559483,2015,4,3,2015-04-03T11:51,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",39.174984,-6.276921,2023,10,18,2023-10-18T22:35,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",104.314132,0.559483,2015,4,4,2015-04-04T17:57,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",35.381788,24.392714,2024,10,15,2024-10-15T12:58,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",-178.476375,-18.919792,2024,10,6,2024-10-06T14:34,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",134.27396,7.297237,2024,10,29,2024-10-29T17:35,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.197392,6.508193,2023,11,21,2023-11-21T21:24,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.309476,6.49387,2023,11,18,2023-11-18T10:30,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.84618,10.104701,2024,7,24,2024-07-24T12:05,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",123.894882,-5.769036,2019,4,21,2019-04-21T11:22,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",134.220399,7.13426,2024,2,23,2024-02-23T15:30,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",99.778471,9.999121,2024,7,24,2024-07-24T07:32,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",103.860594,1.223372,2024,3,10,2024-03-10T17:54,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",-149.758258,-17.501529,2024,5,14,2024-05-14T03:21,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",98.770677,7.676599,2023,4,23,2023-04-23T08:55,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",40.685431,-14.565606,2023,10,14,2023-10-14T18:30,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",103.860891,1.22211,2024,3,11,2024-03-11T18:08,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",98.795521,7.816842,2006,3,2,2006-03-02,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",40.005335,-3.370989,2023,7,6,2023-07-06T12:22,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
"Radianthus magnifica (Quoy & Gaimard, 1833)",98.766197,7.654513,2024,10,7,2024-10-07T10:24:05,50c9509d-22c7-4a22-a47d-8c48425ef4a7,NA,NA,NA,gbif.org
