decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,source,depth,species
43.555976,-23.153262,2016-02-15T09:07,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.27926,-12.87369,2016-07-29,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.27957,-12.8762,2016-07-30,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
47.227478,-14.988234,2016-09-02T11:15,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
47.258377,-14.955068,2016-09-09T11:53,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
49.903852,-16.924781,2016-10-05T10:37,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.214481,-12.984354,2015-09-03T21:52,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.28436,-12.82795,2015-09-28,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.05137,-12.67296,2015-10-05,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
43.605176,-23.649845,2013-11-10,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.269495,-12.867766,2012-05-14T10:37,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
47.33786,-11.52437,2012-12-11,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
47.24695,-11.61546,2012-12-09,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
47.24623,-11.52509,2012-12-14,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
43.55091,-23.149431,2012-12-09T09:19,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
43.552285,-23.152394,2012-12-09T09:20,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
48.340509,-13.495464,2011-09-29T17:02,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
48.237487,-13.482788,2011-09-30T10:04,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.217028,-12.986288,2009-01-03T06:34,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
48.199319,-13.47226,2009-06-03T13:43,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
48.239085,-13.483851,2008-04-08T17:43,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
43.554517,-23.150184,2008-04-05T20:58,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
43.54061,-23.133014,2008-04-05T18:25,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
47.952,-13.50389,2008-05-13,MATERIAL_SAMPLE,NA,PRESENT,GBIF,10,Amphiprion_latifasciatus
48.233,-13.48056,2008-05-14,MATERIAL_SAMPLE,NA,PRESENT,GBIF,2,Amphiprion_latifasciatus
48.608,-13.70717,2008-05-08,MATERIAL_SAMPLE,NA,PRESENT,GBIF,2,Amphiprion_latifasciatus
48.61,-13.71,2008-05-08,PRESERVED_SPECIMEN,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
47.95,-13.5,2008-05-13,PRESERVED_SPECIMEN,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
48.23,-13.48,2008-05-14,PRESERVED_SPECIMEN,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.06402,-12.969079,2008-12-08T15:01,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.2125,-12.981111,1988-11-14,PRESERVED_SPECIMEN,Royal Ontario Museum Ichthyology (ROMI),PRESENT,GBIF,NA,Amphiprion_latifasciatus
43.656667,-12.397778,1988-11-26,PRESERVED_SPECIMEN,Royal Ontario Museum Ichthyology (ROMI),PRESENT,GBIF,NA,Amphiprion_latifasciatus
48.3817,-13.4361,1964-01-28,PRESERVED_SPECIMEN,NMNH Extant Biology,PRESENT,GBIF,NA,Amphiprion_latifasciatus
45.14743,-12.8206,NA,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
40.83955,-20.74312,NA,HUMAN_OBSERVATION,NA,PRESENT,GBIF,NA,Amphiprion_latifasciatus
