decimalLongitude,decimalLatitude,eventDate,basisOfRecord,occurrenceStatus,depth,source,datasetName,species
132.067,-11.183,1981-10-17,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
130.8,-12.45,NA,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
132.05,-11.183,1986-08-13,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
130.818,-12.418,NA,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
130.833,-12.45,NA,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
130.817,-12.417,1981-12-28,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
124.30194,-16.08333,2009-10-23,PreservedSpecimen,present,0.5,OBIS,NA,Amphiprion_rubrocinctus
124.46417,-16.10972,2009-10-19,PreservedSpecimen,present,0.5,OBIS,NA,Amphiprion_rubrocinctus
122.08333,-16.85,1982-07-29,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
130.733001709,-12.3830003738,NA,PreservedSpecimen,NA,NA,OBIS,NA,Amphiprion_rubrocinctus
130.427,-12.523,2002-12-07,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
124.48389,-16.06861,2009-10-20,PreservedSpecimen,present,0.5,OBIS,NA,Amphiprion_rubrocinctus
123.11667,-16.4,1994-11-17,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
124.21694,-15.33083,2011-10-15,PreservedSpecimen,present,0.5,OBIS,NA,Amphiprion_rubrocinctus
123.18333,-16.41667,1994-11-17,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
123.35305,-15.71111,2009-10-14,PreservedSpecimen,present,0.5,OBIS,NA,Amphiprion_rubrocinctus
123.5,-16.26667,1994-11-25,PreservedSpecimen,present,0.45,OBIS,NA,Amphiprion_rubrocinctus
132.183,-11.25,1983-05-12,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
124.52166,-15.99138,2009-10-22,PreservedSpecimen,present,0.5,OBIS,NA,Amphiprion_rubrocinctus
132,-11,1948-03-26,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
123.53333,-15.35,1991-08-24,PreservedSpecimen,present,0.55,OBIS,NA,Amphiprion_rubrocinctus
114.67873,-21.62565,2003-03-14 00:03:00,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
116.6,-20.46667,1974-11-18,PreservedSpecimen,present,3.5,OBIS,NA,Amphiprion_rubrocinctus
136.45,-13.8,1977,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
132.167,-11.217,1982-05-03,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
124.53694,-16.03,2009-10-20,PreservedSpecimen,present,0.5,OBIS,NA,Amphiprion_rubrocinctus
113.95,-21.91667,1975-06-25,PreservedSpecimen,present,2.5,OBIS,NA,Amphiprion_rubrocinctus
135.55,-12.033,1988-02-01,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
115.533,-20.4,1983-04-23,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
123.6,-16.13333,NA,PreservedSpecimen,present,NA,OBIS,NA,Amphiprion_rubrocinctus
