decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,depth,source,species
-174.0083,-18.65,1965-06-28,HumanObservation,"Amphiprion barberi, a new species of anemonefish (Pomacentridae) from Fiji, Tonga, and Samoa",present,8,OBIS,Amphiprion_barberi
-174.97055,-21.3375,1993-11-02,HumanObservation,"Amphiprion barberi, a new species of anemonefish (Pomacentridae) from Fiji, Tonga, and Samoa",present,22.5,OBIS,Amphiprion_barberi
-174.41833,-21.86,1993-11-11,HumanObservation,"Amphiprion barberi, a new species of anemonefish (Pomacentridae) from Fiji, Tonga, and Samoa",present,1,OBIS,Amphiprion_barberi
-178.6667,-20.6167,1982-04-29,HumanObservation,"Amphiprion barberi, a new species of anemonefish (Pomacentridae) from Fiji, Tonga, and Samoa",present,1,OBIS,Amphiprion_barberi
-174.9333333,-21.3666667,1993-11-02,MaterialSample,University of Kansas Biodiversity Institute Fish Tissue Collection,NA,NA,OBIS,Amphiprion_barberi
178.430157,-18.166425,1929-03-23,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_barberi
-174.11,-18.74194,1993-11-17,HumanObservation,"Amphiprion barberi, a new species of anemonefish (Pomacentridae) from Fiji, Tonga, and Samoa",present,5,OBIS,Amphiprion_barberi
178.43,-18.1664,1970-10-01,PreservedSpecimen,Bishop Museum Fish Specimens,present,NA,OBIS,Amphiprion_barberi
178.39,-18.13,1970-10,HumanObservation,"Amphiprion barberi, a new species of anemonefish (Pomacentridae) from Fiji, Tonga, and Samoa",present,NA,OBIS,Amphiprion_barberi
-170.6833,-14.2833,1965-06-18,HumanObservation,"Amphiprion barberi, a new species of anemonefish (Pomacentridae) from Fiji, Tonga, and Samoa",present,NA,OBIS,Amphiprion_barberi
179.7667,-17.1167,2003-05-17,HumanObservation,"Amphiprion barberi, a new species of anemonefish (Pomacentridae) from Fiji, Tonga, and Samoa",present,8.5,OBIS,Amphiprion_barberi
177.652173,-18.19682,2025-01-01T14:56:06,HUMAN_OBSERVATION,iNaturalist research-grade observations,PRESENT,NA,GBIF,Amphiprion_barberi
