decimalLongitude,decimalLatitude,eventDate,basisOfRecord,datasetName,occurrenceStatus,depth,source,species
123.333333333,9.41666666667,1985-08-11T12:00:00Z,HumanObservation,NA,NA,NA,OBIS,Amphiprion_percula
152.399993896,-4.19999980927,1965-02-25T12:00:00Z,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
122.398683,4.543299,NA,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
145.45399,-14.7044,2014-01-21 00:01:00,HumanObservation,NA,present,NA,OBIS,Amphiprion_percula
147.286052,-9.524376,1974-11-08,PreservedSpecimen,NA,NA,1,OBIS,Amphiprion_percula
145.616,-14.583,1923-06-16,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
155.616667,-6.2,1963-09-10,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
121.975003,13.82968,NA,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
166.845,-11.708333,1963-09-03,PreservedSpecimen,NA,NA,1.52,OBIS,Amphiprion_percula
123.333335876,9.41666698456,1985-08-11T12:00:00Z,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
155,-6,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
121.037263,13.683926,NA,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
166.291671753,-10.3000001907,1998-09-17T12:00:00Z,PreservedSpecimen,NA,NA,7.5,OBIS,Amphiprion_percula
166.29166,-10.266,1998-09-17,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.7,-15.75,1969-01-20,preservedspecimen,NA,NA,NA,OBIS,Amphiprion_percula
146.05199,-16.69967,2006-09-05T12:00:00Z,HumanObservation,NA,present,NA,OBIS,Amphiprion_percula
152.173614502,-4.23472213745,1965-02-27T12:00:00Z,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
144.066,-9.933,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
161.75,-10.283,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
150.53582,-20.99363,2012-01-14,HumanObservation,NA,present,5,OBIS,Amphiprion_percula
143.41666,-9.73333,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
146.39343,-17.52037,2015-12-15,HumanObservation,NA,present,5,OBIS,Amphiprion_percula
146.81666,-19.26667,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
146.166,-16.7,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
146.39603,-17.523,2015-12-15,HumanObservation,NA,present,5,OBIS,Amphiprion_percula
144.06666,-9.93333,1974-07-18,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.46667,-14.66667,1981-10-25,PreservedSpecimen,NA,present,6,OBIS,Amphiprion_percula
152.466,-4.2,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
123.03596,9.044203,1948-07-23,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
146.39053,-17.51795,2014-03-22,HumanObservation,NA,present,5,OBIS,Amphiprion_percula
123.6,-16.13333,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
144,-11.6,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.44099,-14.6743,2018-03-07 00:03:00,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.797978,-5.22119,1985-12-26,PreservedSpecimen,NA,NA,7.75,OBIS,Amphiprion_percula
146.40308,-17.46652,2010-04-09,HumanObservation,NA,present,5,OBIS,Amphiprion_percula
150.5,-9.5,1972-05-29,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
147.43333,-2.05,1982-10-08,PreservedSpecimen,NA,present,2.5,OBIS,Amphiprion_percula
178.38,-19.03,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
150.36666666666667,-5.166666666666668,NA,humanobservation,NA,NA,NA,OBIS,Amphiprion_percula
145.65245,-16.04495,2013-01-07,HumanObservation,NA,present,5,OBIS,Amphiprion_percula
135.40027,-1.74972,2006-02-12,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
160.286126,-9.291517,1932-03,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
166.316,-10.25,1998-09-17,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
-151.75,-16.5,NA,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
146.06666,-16.7,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
160.583,-8.4,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
144.02062,-11.40687,2013-01-16,HumanObservation,NA,present,0,OBIS,Amphiprion_percula
145.45,-15.016,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.45,-15.75,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
152,-3.83299994469,NA,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
143.76667,-9.58333,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
124.166195,10.19927,NA,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
166.832992554,-11.6999998093,NA,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
145.99313,-16.92315,2013-01-17,HumanObservation,NA,present,5,OBIS,Amphiprion_percula
130.75,-0.233333,1929-06-08,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
146.196949,-4.786537,1987-05-18,PreservedSpecimen,NA,NA,3.05,OBIS,Amphiprion_percula
127.699996948,0.899999976158,1979-05-31T12:00:00Z,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
134.225,-2.15944,2006-02-24,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
120.769846,12.748699,NA,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
146,-16.83333,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.444,-14.6867,2005-10-16 00:10:00,HumanObservation,NA,present,NA,OBIS,Amphiprion_percula
155,-5,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
147.45533,-18.40378,2000-05-02,HumanObservation,NA,present,5,OBIS,Amphiprion_percula
159.6,-9.316,1973-07-08,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
121.437955,13.750015,NA,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
145.8,-5.147,1992-10-21,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
151.733,-23.533,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
167.157226562,-9.86111068726,1998-09-21T10:00:00Z,PreservedSpecimen,NA,NA,20,OBIS,Amphiprion_percula
146.52682,-17.797,2005-12-05,HumanObservation,NA,present,5,OBIS,Amphiprion_percula
166.96667,-11.61667,NA,preservedspecimen,NA,NA,NA,OBIS,Amphiprion_percula
156.16667,-8.1,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.75,-5.25,1972-04-02,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.466,-14.6879,2014-11-09 00:11:00,HumanObservation,NA,present,NA,OBIS,Amphiprion_percula
160,-8,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
136.47,-13.98,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
146.47787,-17.2336,2018-02-18,HumanObservation,NA,present,5,OBIS,Amphiprion_percula
136.26,-1.245,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.446,-14.6639,2017-01-12 00:01:00,HumanObservation,NA,present,NA,OBIS,Amphiprion_percula
145.56666,-16.38333,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.966,-16.766,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
146.47847,-17.22917,2007-09-03,HumanObservation,NA,present,5,OBIS,Amphiprion_percula
145.77,-16.85,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.448,-14.651,2018-03-07 00:03:00,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.44501,-14.6743,2018-03-07 00:03:00,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.483,-15.666,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
147.26265,-9.5393,2011-01-26,PreservedSpecimen,Ocean Genome Legacy Collection,present,0,OBIS,Amphiprion_percula
135.48,-0.093,NA,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
120.764637,12.752379,NA,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
145.833,-5.183,1970-05-30,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
127.900001526,1,1978-05-16T12:00:00Z,PreservedSpecimen,NA,NA,3,OBIS,Amphiprion_percula
162.736751,-8.390035,1933-05-14,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
151.083,-8.5,1970-06-11,PreservedSpecimen,NA,present,NA,OBIS,Amphiprion_percula
145.45399,-14.7045,2015-03-08 00:03:00,HumanObservation,NA,present,NA,OBIS,Amphiprion_percula
119.148215,4.722753,1948-06-23,PreservedSpecimen,NA,NA,NA,OBIS,Amphiprion_percula
145.44,-14.6839,2017-01-11 00:01:00,HumanObservation,NA,present,NA,OBIS,Amphiprion_percula
